# m_a [GeV]	g(a,gamma)
0.020964	7.4024e-7
0.023474	7.0902e-7
0.026151	6.4167e-7
0.029133	5.7205e-7
0.032456	5.1802e-7
0.036157	4.7936e-7
0.040281	4.3855e-7
0.044875	4.0680e-7
0.049993	3.7464e-7
0.055695	3.5749e-7
0.062047	3.3401e-7
0.069123	3.1189e-7
0.077006	2.8654e-7
0.085789	2.7656e-7
0.095573	2.6200e-7
0.10647	2.3768e-7
0.11862	2.2503e-7
0.13214	2.1114e-7
0.14722	2.0428e-7
0.16401	1.9446e-7
0.18271	1.7409e-7
0.20355	1.6042e-7
0.22676	1.5737e-7
0.24673	1.5541e-7
0.25692	1.5737e-7
0.27673	1.4905e-7
0.29806	1.3913e-7
0.32103	1.4091e-7
0.34577	1.4185e-7
0.37242	1.3861e-7
0.40113	1.3880e-7
0.43205	1.4219e-7
0.46535	1.5257e-7
0.49784	1.5479e-7
