# m_a [GeV]	g(a,gamma)
0.021720	0.00092910
0.025028	0.00068716
0.028769	0.00049911
0.033286	0.00036697
0.037942	0.00026625
0.043827	0.00019381
0.050502	0.00013714
0.055413	0.00010235
0.063103	0.000082155
0.072835	0.000057545
0.083555	0.000046560
0.096220	0.000031107
0.11050	0.000022496
0.12520	0.000016787
0.14185	0.000010865
0.16217	0.0000077161
0.18582	0.0000047006
0.20424	0.0000034083
0.21412	0.0000032874
0.23062	0.0000026289
0.24840	0.0000022450
0.26754	0.0000018158
0.28816	0.0000014508
0.31037	0.0000011838
0.33430	9.8218e-7
0.36006	7.7572e-7
0.38782	6.5333e-7
0.41771	5.0141e-7
0.44990	3.8013e-7
0.48458	3.0801e-7
0.51667	2.1871e-7
0.516671	1.6644e-7
