# m_a [GeV]	g(a,gamma)
0.061767	0.000092091
0.064524	0.000081619
0.067952	0.000072457
0.069748	0.000065928
0.073946	0.000060538
0.078308	0.000053297
0.082220	0.000047019
0.086801	0.000040062
0.091946	0.000036003
0.097370	0.000031629
0.10221	0.000027301
0.10524	0.000024518
0.11142	0.000021730
0.11833	0.000019206
0.12398	0.000016718
0.12789	0.000014900
0.13368	0.000013144
0.13896	0.000011384
0.14528	0.0000099864
0.15319	0.0000087456
0.16085	0.0000076817
0.16768	0.0000067075
0.17746	0.0000058047
0.18471	0.0000050329
0.19299	0.0000044211
0.20061	0.0000038868
0.20620	0.0000032984
0.21173	0.0000028490
0.21678	0.0000023661
0.21931	0.0000020044
0.21051	0.0000017439
0.20215	0.0000016912
0.19199	0.0000016342
0.18016	0.0000016235
0.16966	0.0000016297
0.15978	0.0000016462
0.15046	0.0000016948
0.14169	0.0000017904
0.13343	0.0000018688
0.12565	0.0000019390
0.11833	0.0000019966
0.11143	0.0000020894
0.096437	0.0000023254
0.091467	0.0000023908
0.086134	0.0000024958
0.081111	0.0000026354
0.076382	0.0000027237
0.071929	0.0000028403
0.067735	0.0000029578
0.063786	0.0000030873
0.060067	0.0000032303
0.056564	0.0000033866
0.053266	0.0000035251
0.050162	0.0000036122
0.047238	0.0000037161
0.044483	0.0000039209
0.041889	0.0000041019
0.039448	0.0000042354
0.037146	0.0000045333
0.034979	0.0000048700
0.032939	0.0000051243
0.031019	0.0000053953
0.029171	0.0000056740
0.027572	0.0000058992
0.025903	0.0000060895
0.024393	0.0000063068
0.022971	0.0000066362
0.021631	0.0000070245
0.020396	0.0000074086
