# m_a [GeV]	g(a,gamma)
0.021720	0.0000078008
0.023394	0.0000074742
0.025198	0.0000068524
0.027140	0.0000064654
0.029232	0.0000060684
0.031485	0.0000056411
0.033911	0.0000052808
0.036525	0.0000049577
0.039341	0.0000046971
0.042373	0.0000045180
0.045639	0.0000043736
0.049156	0.0000040676
0.052945	0.0000037221
0.057026	0.0000035253
0.061422	0.0000032566
0.071255	0.0000029297
0.076747	0.0000027667
0.082662	0.0000026081
0.089034	0.0000025352
0.095896	0.0000024560
0.10329	0.0000023651
0.11125	0.0000021625
0.11982	0.0000020157
0.12906	0.0000018813
0.13901	0.0000017918
0.14972	0.0000017402
0.16126	0.0000016989
0.17369	0.0000016864
0.18708	0.0000016872
0.20150	0.0000017164
0.21053	0.0000017509
