# m_a [GeV]	g(a,gamma)
0.020924	0.0012082
0.022633	0.00094152
0.024361	0.00077635
0.026239	0.00063728
0.028262	0.00052746
0.030358	0.00047986
0.032786	0.00041702
0.035313	0.00033982
0.038035	0.00028640
0.040967	0.00024371
0.044124	0.00019886
0.047525	0.00016614
0.051188	0.00014275
0.055134	0.00012394
0.059383	0.00010391
0.063960	0.000087839
0.068890	0.000071246
0.074200	0.000060587
0.080189	0.000051209
0.086176	0.000042995
0.092714	0.000035029
0.099860	0.000029062
0.10756	0.000023527
0.11585	0.000019777
0.12478	0.000016307
0.13439	0.000012406
0.14475	0.0000095884
0.15591	0.0000080248
0.16793	0.0000065766
0.18087	0.0000052044
0.19481	0.0000040188
0.20983	0.0000030228
0.22072	0.0000022267
