#m [GeV]	cWW
0.17863	10000
0.17864	1.2630
0.19409	0.88804
0.21089	0.83967
0.22876	0.85981
0.24857	0.87656
0.27009	0.83805
0.29347	0.80056
0.31888	0.81302
0.34589	0.80255
0.37807	0.78309
0.40836	0.62759
0.44333	0.55565
0.48416	0.50262
0.52297	0.58614
0.56825	0.57764
0.61378	0.51055
0.72836	0.54808
0.78940	0.52360
0.85624	0.36300
0.93194	0.36354
1.0161	0.36489
1.0994	0.39503
1.2979	0.27623
1.4114	0.26258
1.5297	0.22219
1.6635	0.19088
1.8091	0.25396
1.9673	0.17365
2.1251	0.25028
2.2817	0.18678
2.5195	0.18664
2.5194	10000
