#m [GeV]	RB(B->Ka) * BR(a->gamma gamma)
0.18552	1.8550e-7
0.17888	5.3583e-7
0.19243	4.0921e-7
0.19716	3.3318e-7
0.18438	1.5874e-7
0.19456	2.2502e-7
0.19751	2.7408e-7
0.21530	4.1930e-7
0.21989	3.5008e-7
0.22183	3.0672e-7
0.21304	5.0509e-7
0.22020	6.7821e-7
0.23238	2.7241e-7
0.23215	2.2710e-7
0.23243	1.9464e-7
0.23828	1.7290e-7
0.23892	1.5119e-7
0.24462	1.3095e-7
0.23397	3.3970e-7
0.23754	4.0109e-7
0.25574	1.1651e-7
0.24623	3.0029e-7
0.26141	1.0290e-7
0.26821	1.5545e-7
0.27232	1.8723e-7
0.27103	1.3283e-7
0.26745	1.1580e-7
0.27717	2.3482e-7
0.27971	2.7629e-7
0.28489	3.2771e-7
0.27323	2.0968e-7
0.29106	3.6507e-7
0.28953	9.3766e-7
0.29386	8.2007e-7
0.29729	3.9671e-7
0.29842	4.7093e-7
0.30714	3.2668e-7
0.31320	2.6823e-7
0.31811	2.2267e-7
0.31439	3.6801e-7
0.31473	1.9149e-7
0.32123	1.6865e-7
0.32800	1.4125e-7
0.32983	1.1945e-7
0.33278	1.0424e-7
0.32279	4.7851e-7
0.32896	8.6895e-8
0.32885	7.7721e-8
0.34580	2.5124e-7
0.35209	2.0298e-7
0.35067	1.7157e-7
0.35265	1.4942e-7
0.35192	1.2785e-7
0.34795	1.0796e-7
0.36782	2.1720e-7
0.37575	1.6945e-7
0.38536	1.5197e-7
0.38515	1.3195e-7
0.41235	1.6081e-7
0.40664	1.3983e-7
0.40599	1.2396e-7
0.42401	1.9387e-7
0.43674	1.6035e-7
0.44046	1.4245e-7
0.44758	2.0618e-7
0.64062	2.0305e-7
0.63563	2.5462e-7
0.64514	2.2676e-7
0.66210	2.2656e-7
0.67052	1.9575e-7
0.67293	2.9815e-7
0.69387	1.7332e-7
0.69943	1.4565e-7
0.69496	2.5521e-7
0.70992	1.3322e-7
0.73713	2.0375e-7
0.73410	1.3445e-7
0.74201	1.6162e-7
0.74570	1.9000e-7
0.74984	2.4684e-7
0.75462	2.9415e-7
0.75033	2.0878e-7
0.76865	3.4453e-7
0.78252	3.8777e-7
0.78245	4.4307e-7
0.79046	2.9917e-7
0.78502	3.4626e-7
0.79522	2.4561e-7
0.80280	2.0606e-7
0.80365	1.7805e-7
0.80925	1.6054e-7
0.81495	1.3965e-7
0.81964	1.3444e-7
0.83961	1.5802e-7
0.85086	1.5345e-7
0.85303	5.7042e-7
0.86324	1.8187e-7
0.86287	4.8052e-7
0.86453	2.0436e-7
0.88543	1.4755e-7
0.88144	1.7528e-7
0.88844	5.1741e-7
0.89545	1.2999e-7
0.90129	1.4382e-7
0.90632	1.0731e-7
1.0215	3.3587e-7
1.0144	2.4028e-7
1.0204	1.5388e-7
1.0312	1.7968e-7
1.0422	1.9110e-7
1.0452	2.8827e-7
1.0411	3.3363e-7
1.0596	1.6419e-7
1.0532	3.8707e-7
1.0739	1.5928e-7
1.0686	4.2599e-7
1.0794	3.3656e-7
1.0786	1.9903e-7
1.0796	2.3385e-7
1.0830	4.7480e-7
1.0830	2.6948e-7
1.0903	3.0541e-7
1.0828	1.7199e-7
1.0966	4.1246e-7
1.0989	3.5689e-7
1.1120	3.1879e-7
1.1006	5.1827e-7
1.1157	2.7376e-7
1.1197	2.4347e-7
1.1264	2.1012e-7
1.1304	1.7906e-7
1.1390	1.5651e-7
1.1336	4.3770e-7
1.1402	3.6937e-7
1.1474	1.3852e-7
1.1557	2.8455e-7
1.1635	1.2398e-7
1.1662	2.3005e-7
1.1726	1.1047e-7
1.1861	9.8767e-8
1.1898	1.7779e-7
1.1973	1.1955e-7
1.2012	1.3406e-7
1.2048	1.5650e-7
1.2154	1.8915e-7
1.2332	1.6224e-7
1.2395	1.3445e-7
1.2409	1.8852e-7
1.2418	1.1369e-7
1.2467	9.8856e-8
1.2539	8.4138e-8
1.2561	1.4121e-7
1.2700	1.1705e-7
1.2802	7.9264e-8
1.2824	7.1232e-8
1.3053	8.4183e-8
1.3119	9.7327e-8
1.3153	1.1063e-7
1.3246	1.2968e-7
1.3322	1.4626e-7
1.3531	1.2575e-7
1.3723	1.4668e-7
1.3728	2.6422e-7
1.3695	1.2311e-7
1.3820	1.7240e-7
1.3916	2.0384e-7
1.4010	2.3170e-7
1.3926	1.5050e-7
1.4176	2.5538e-7
1.4332	2.1917e-7
1.4350	2.4228e-7
1.4542	2.1621e-7
1.4807	2.1430e-7
1.4879	1.8969e-7
1.4918	1.6541e-7
1.4972	1.4380e-7
1.5013	1.2356e-7
1.5006	1.0835e-7
1.5107	9.4121e-8
1.5151	7.9602e-8
1.5191	6.7293e-8
1.5244	5.8686e-8
1.5333	5.1198e-8
1.5407	4.7151e-8
1.5513	6.4547e-8
1.5559	7.9492e-8
1.5504	5.4573e-8
1.5602	9.6863e-8
1.5683	1.1629e-7
1.5774	1.3470e-7
1.5704	2.2648e-7
1.5785	1.5135e-7
1.5765	1.9792e-7
1.5857	1.6538e-7
1.5931	9.9733e-8
1.5917	1.1348e-7
1.6067	1.3772e-7
1.6129	9.9076e-8
1.6268	1.1533e-7
1.6454	1.4663e-7
1.6536	1.1921e-7
1.6693	1.5127e-7
1.6826	1.1029e-7
1.6963	1.7120e-7
1.7059	1.2174e-7
1.7241	1.6503e-7
1.7321	1.2913e-7
1.7490	1.5787e-7
1.7607	1.8256e-7
1.7811	1.9693e-7
1.8037	1.9008e-7
1.8324	1.6808e-7
1.8431	1.4604e-7
1.8551	1.2808e-7
1.8625	1.1406e-7
1.8533	1.7453e-7
1.8619	1.5182e-7
1.8860	1.0393e-7
1.8958	9.4745e-8
1.9023	1.1842e-7
1.9207	8.5975e-8
1.9402	7.6097e-8
1.9390	9.5217e-8
1.9628	6.8872e-8
1.9848	6.3969e-8
2.0013	7.3216e-8
1.9989	6.3346e-8
2.0100	8.5786e-8
2.0130	2.0208e-7
2.0186	1.0714e-7
2.0230	1.2671e-7
2.0365	1.7056e-7
2.0371	1.3890e-7
2.0642	1.7094e-7
2.0607	1.4668e-7
2.0816	2.0484e-7
2.0874	1.6960e-7
2.0909	2.3952e-7
2.1098	1.8872e-7
2.1093	2.1331e-7
2.1249	1.5490e-7
2.1392	1.3390e-7
2.1403	1.2252e-7
2.1386	1.8590e-7
2.1521	1.6389e-7
2.1629	1.2989e-7
2.1727	1.1121e-7
2.1828	9.8091e-8
2.1900	1.3403e-7
2.2073	1.0914e-7
2.2239	1.2113e-7
2.2437	1.0403e-7
2.2399	1.5240e-7
2.2540	1.2515e-7
2.2616	8.7831e-8
2.2766	7.6827e-8
2.2815	1.0293e-7
2.2899	7.3586e-8
2.2984	8.8350e-8
2.3111	1.0947e-7
2.3024	7.7972e-8
2.3168	1.2749e-7
2.3372	9.8632e-8
2.3315	1.1321e-7
2.3479	8.6602e-8
2.3728	9.2726e-8
2.3862	1.0519e-7
2.4013	1.1577e-7
2.4144	9.9723e-8
2.4260	1.1939e-7
2.4562	1.1662e-7
2.4547	9.9307e-8
2.4777	1.2809e-7
2.4717	1.1485e-7
2.4852	9.4999e-8
2.4902	7.3845e-8
