#m [GeV]	cWW
0.25984	10000
0.25985	87.941
0.27612	77.135
0.29614	69.586
0.31663	62.300
0.33827	56.264
0.35919	54.424
0.38552	49.098
0.50458	30.672
0.53454	30.450
0.57021	26.983
0.61013	24.067
0.65235	21.505
0.69588	19.106
0.74346	16.961
0.84729	14.948
0.90522	13.404
0.96711	11.935
1.0316	10.572
1.1022	9.4062
1.1721	9.2400
1.2571	8.2679
1.3420	7.4005
1.4315	6.5293
1.5212	5.7830
1.6340	5.2165
1.7457	5.1637
1.8650	4.6431
1.9956	5.8501
2.1271	6.5085
2.4261	7.3977
2.5880	7.4328
2.7649	8.3573
3.3665	10.562
3.5636	11.891
4.0990	9.3460
4.3792	1.2639
4.6428	1.1225
4.6429	10000
