#m [GeV]	cff
0.26023	10000
0.26024	0.20252
0.27696	0.19493
0.38580	0.13585
0.50535	0.13288
0.53617	0.13154
0.57283	0.13154
0.61105	0.13154
0.65283	0.13154
0.74401	0.092651
0.79487	0.091271
0.84922	0.089393
0.90728	0.089393
0.95893	0.089338
1.0340	0.028635
1.1047	0.019493
1.1784	0.019157
1.2590	0.019157
1.3450	0.019157
1.4370	0.019157
1.5329	0.019157
1.6377	0.019157
1.7497	0.019157
1.8664	0.018903
2.0036	0.018826
2.1304	0.018720
2.2725	0.013209
2.5939	0.0088992
2.7691	0.0059751
3.3742	0.0040863
3.5663	0.0027690
4.1083	0.0027690
4.3825	0.0018764
4.6534	0.0018191
4.6535	10000
