#m [GeV]	cff
0.26090	0.21170
0.31608	0.21170
0.38469	0.14004
0.55432	0.14095
0.56854	0.13918
0.63418	0.13982
0.65426	0.13813
0.82365	0.095814
0.94711	0.095814
0.99784	0.093797
1.4941	0.019648
1.9908	0.013297
2.4870	0.013297
3.2112	0.0041069
3.4806	0.0041069
3.9779	0.0027815
3.9871	0.0014110
3.4806	0.00085909
3.2112	0.00085909
2.4870	0.00042436
1.9908	0.00043058
1.4941	0.00043058
0.99784	0.0012494
0.94711	0.0012501
0.82365	0.0012702
0.68457	0.0013854
0.66582	0.0013888
0.63418	0.0014219
0.56854	0.0014416
0.55432	0.0014416
0.38293	0.0027815
0.31608	0.0027815
0.26090	0.0040824
