#m [GeV]	cff
0.21442	0.0042574
0.21907	0.0040145
0.25943	0.0013883
0.26655	0.0013271
0.31505	0.0012453
0.32310	0.0012730
0.38118	0.0012901
0.39165	0.0013218
0.42719	0.0012901
0.44043	0.0013284
0.46206	0.0012832
0.47741	0.0012999
0.54665	0.0012901
0.56799	0.0012908
0.62652	0.0012901
0.65159	0.0012803
0.67765	0.0012847
0.69561	0.0012735
0.81989	0.0013370
0.84162	0.0013133
0.94496	0.0012453
0.98314	0.0012572
1.0145	0.0012508
1.4906	0.00040592
1.5315	0.00041402
2.0024	0.00035055
2.4869	0.00037292
2.5504	0.00038225
2.9754	0.000037286
3.0570	0.000037428
3.0714	0.00012041
3.2002	0.00037491
3.2697	0.00037770
3.5333	0.00037338
3.9671	0.0013214
4.0760	0.0013647
3.9894	0.0016951
3.5697	0.0016546
3.4939	0.0016951
3.2182	0.0016975
3.1176	0.0016701
2.9865	0.0016771
2.5671	0.0050003
2.5149	0.0056302
2.0024	0.0058818
1.5018	0.0058818
1.0173	0.059911
0.98927	0.063893
0.94850	0.064131
0.82604	0.066641
0.68274	0.066641
0.65341	0.066730
0.63477	0.066565
0.56799	0.066553
0.55385	0.066743
0.47697	0.065936
0.46727	0.066794
0.43040	0.066641
0.38404	0.066641
0.32310	0.10415
0.31447	0.10781
0.26655	0.10467
0.25943	0.10446
0.22051	0.21842
0.21482	0.21967
