#m [GeV]	cff
0.15818	2.1046
0.16027	2.3950
0.16382	2.4095
0.16738	2.4115
0.17093	2.4111
0.17442	2.3800
0.17758	2.0600
0.18091	2.0421
0.18447	2.0469
0.18802	2.0427
0.19165	1.9725
0.19341	1.8459
0.19705	1.6583
0.20066	1.6568
0.20415	1.6572
0.20771	1.6572
0.21126	1.6586
0.21458	1.6261
0.21837	1.4028
0.22174	1.3540
0.22262	1.2321
0.22412	1.1482
0.22767	1.1499
0.23081	1.1240
0.23437	0.96867
0.23792	0.96236
0.24148	0.94606
0.24503	0.94685
0.24826	0.91832
0.24927	0.84011
0.24927	0.75214
0.24951	0.65667
0.24989	0.61588
0.24968	0.55022
0.24916	0.46870
0.24695	0.38024
0.24733	0.42167
0.24493	0.38009
0.24134	0.37741
0.23779	0.37760
0.23423	0.37767
0.23068	0.37722
0.22712	0.36972
0.22341	0.36233
0.22001	0.31953
0.21721	0.36568
0.21400	0.36793
0.21081	0.32871
0.20773	0.31731
0.20402	0.31607
0.20214	0.37694
0.20031	0.37786
0.19637	0.37928
0.19323	0.38134
0.19060	0.32288
0.18764	0.31787
0.18504	0.30242
0.18217	0.27813
0.17959	0.31343
0.17650	0.31599
0.17281	0.31558
0.16967	0.31049
0.16788	0.33812
0.16513	0.37411
0.16309	0.38861
0.16123	0.45779
0.16020	0.51063
0.15891	0.59378
0.15896	0.70946
0.15890	0.84230
0.15849	0.93036
0.15678	0.98736
0.15633	1.2542
0.15624	1.4972
