#m [GeV]	cff
0.010251	191.70
0.011245	174.70
0.020616	108.05
0.021819	98.262
0.030254	75.150
0.032100	71.240
0.040474	51.043
0.041670	46.534
0.050055	34.285
0.051896	32.932
0.060172	24.579
0.062040	23.571
0.070380	17.441
0.072021	16.279
0.080450	13.321
0.081590	12.427
0.090042	11.881
0.091981	11.474
0.10001	6.9790
0.10075	7.2598
0.10196	6.7110
0.11057	5.0910
0.11016	1.1806
0.10031	0.39982
0.090203	0.28350
0.080087	0.27490
0.070107	0.28290
0.060126	0.28290
0.039809	0.32877
0.030186	0.38271
0.020001	0.38555
0.010089	0.46063
