#m [GeV]	cff
0.15298	1.4480
0.15449	1.4463
0.15599	1.4241
0.15749	1.4266
0.15900	1.4377
0.16050	1.3652
0.16201	1.3483
0.16351	1.3459
0.16501	1.3435
0.16652	1.3459
0.16802	1.3483
0.16952	1.3459
0.17103	1.3435
0.17253	1.3459
0.17404	1.3483
0.17554	1.3459
0.17704	1.3451
0.17855	1.3443
0.18005	1.3483
0.18155	1.3459
0.18306	1.3451
0.18456	1.3443
0.18607	1.3483
0.18757	1.3427
0.18907	1.2259
0.19058	1.1381
0.19208	1.0660
0.19358	1.0497
0.19509	1.0490
0.19659	1.0484
0.19810	1.0572
0.19950	1.0864
0.20110	1.0897
0.20261	1.0904
0.20411	1.0936
0.20561	1.0129
0.20712	0.88498
0.20875	0.65438
0.20969	0.62486
0.21067	0.020445
0.21170	0.016905
0.21259	0.011638
0.21366	0.0081649
0.21518	0.0066685
0.21778	0.0054251
0.21928	0.0050937
0.22079	0.0048657
0.22229	0.0047882
0.22374	0.0044234
0.22530	0.0040082
0.22680	0.0040106
0.22831	0.0040130
0.22981	0.0040202
0.23131	0.0040082
0.23282	0.0039233
0.23432	0.0036990
0.23548	0.0035356
0.23788	0.0030617
0.24020	0.0030219
0.24170	0.0030129
0.24321	0.0029509
0.24471	0.0028712
0.24622	0.0027938
0.24772	0.0024032
0.24909	0.0021242
0.25086	0.0021239
0.25237	0.0021277
0.25387	0.0021315
0.25538	0.0021277
0.25688	0.0021113
0.25811	0.0021502
0.25626	0.00069356
0.25705	0.00075619
0.25511	0.00074044
0.25176	0.00080630
0.25033	0.00069147
0.24806	0.00068763
0.24587	0.00068791
0.24369	0.00068735
0.24150	0.00068763
0.23931	0.00068735
0.23712	0.00068679
0.23494	0.00068622
0.23275	0.00068510
0.22967	0.00056998
0.23052	0.00067608
0.22851	0.00053269
0.22633	0.00052458
0.22414	0.00052469
0.22195	0.00052480
0.21976	0.00052469
0.21772	0.00051896
0.21539	0.00050522
0.21320	0.00049197
0.21102	0.00048844
0.20881	0.00048853
0.20660	0.00048853
0.20442	0.00048865
0.20217	0.00049197
0.20015	0.00050625
0.19890	0.00054943
0.19816	0.00063448
0.19584	0.00066128
0.19379	0.00066987
0.19153	0.00055526
0.19162	0.00063944
0.19052	0.00051732
0.18818	0.00050213
0.18600	0.00050254
0.18381	0.00050233
0.18162	0.00050233
0.17944	0.00050233
0.17725	0.00050172
0.17506	0.00050213
0.17287	0.00050172
0.17069	0.00050213
0.16850	0.00050213
0.16631	0.00050213
0.16445	0.00050303
0.16292	0.00053757
0.16170	0.00067312
0.16094	0.00076506
0.15952	0.00092304
0.15897	0.0010718
0.15831	0.0012917
0.15756	0.0016022
0.15662	0.0017203
0.15606	0.0020315
0.15421	0.0032262
0.15417	0.0024997
0.15332	0.0036685
