#m [GeV]	cWW
0.010120	1294.8
0.010602	1086.5
0.011116	1020.2
0.011727	907.42
0.012237	889.98
0.012826	744.87
0.013436	639.17
0.014113	626.12
0.014771	521.88
0.015495	521.88
0.016269	428.81
0.017043	433.72
0.017870	346.99
0.019663	294.50
0.020609	240.43
0.021628	202.66
0.022657	200.48
0.023777	168.51
0.024942	139.19
0.026762	117.68
0.028253	98.235
0.029409	94.845
0.030795	79.314
0.032289	67.094
0.033886	66.453
0.035562	54.266
0.037287	45.286
0.039412	37.948
0.041030	36.132
0.043097	30.951
0.045040	23.767
0.047255	20.897
0.049542	17.066
0.051771	13.692
0.053737	11.369
0.054933	9.8039
0.054982	8.8121
0.054232	9.0527
0.052375	9.0220
0.049482	7.5642
0.047213	7.5708
0.045008	7.5708
0.042906	7.5708
0.040939	7.5708
0.039027	7.5708
0.037238	7.5708
0.035499	7.5708
0.033781	7.4300
0.032289	7.4460
0.030781	7.4460
0.029358	7.3680
0.027998	7.3538
0.026679	7.4062
0.024909	7.4460
0.023767	7.4460
0.022657	7.4460
0.021599	7.4460
0.020609	7.4460
0.019646	7.4460
0.018729	7.4460
0.017870	7.4460
0.017035	7.5160
0.016254	7.6796
0.015488	9.0635
0.014771	9.1104
0.014094	9.1104
0.013436	9.1104
0.012808	9.1104
0.012221	9.1104
0.011650	9.1104
0.011116	9.0502
0.010597	9.0445
0.010120	9.0445
