#m [GeV]	cWW
0.021748	32.636
0.025205	21.177
0.028801	16.070
0.033241	12.312
0.037984	8.0007
0.043913	6.2391
0.051149	4.0066
0.055456	3.1344
0.063263	2.4706
0.072772	1.8543
0.083572	1.4666
0.096375	0.96953
0.11058	0.73692
0.12531	0.57631
0.14403	0.38430
0.16226	0.22579
0.18619	0.14546
0.20560	0.11335
0.21525	0.11124
0.23415	0.090347
0.25072	0.072273
0.27229	0.057259
0.28913	0.044960
0.31217	0.036153
0.34130	0.027160
0.38804	0.021453
0.41827	0.016995
0.48964	0.010831
0.52123	0.0068025
0.51476	0.0061086
0.49354	0.0060026
0.45011	0.0048328
0.41827	0.0048328
0.38804	0.0048328
0.36090	0.0047988
0.33454	0.0046614
0.31088	0.0046614
0.28817	0.0049013
0.26756	0.0059262
0.24802	0.0061189
0.23067	0.0062246
0.21471	0.0062140
0.20458	0.0062339
0.18603	0.0062709
0.16226	0.0076189
0.14200	0.0076189
0.12531	0.0074796
0.11058	0.0074796
0.083572	0.0099516
0.072772	0.0099516
0.055318	0.012591
0.050513	0.012786
0.037857	0.015670
0.033131	0.019737
0.028729	0.019977
0.024996	0.024305
0.021694	0.025199
