#m [GeV]	cff
0.021692	9.8666
0.025094	9.6478
0.028836	5.1151
0.033302	4.9644
0.037983	2.7659
0.043830	2.6844
0.050534	1.4965
0.055426	1.4574
0.063216	0.84160
0.072886	0.82506
0.083477	0.46281
0.096166	0.43846
0.11106	0.24864
0.12489	0.24742
0.14197	0.25138
0.16220	0.24267
0.18608	0.13340
0.20289	0.46658
0.19939	0.23588
0.21436	0.071937
0.23200	0.039864
0.24984	0.021613
0.28998	0.011964
0.31150	0.0066935
0.36005	0.0066174
0.41894	0.0035076
0.48666	0.0019316
0.47942	0.0017377
0.44928	0.0017334
0.41755	0.0016901
0.38709	0.0017309
0.36005	0.0016781
0.33378	0.0016958
0.31047	0.0016719
0.28758	0.0016898
0.26660	0.0017361
0.24307	0.0031808
0.23027	0.0031976
0.21223	0.0060128
0.21188	0.011250
0.20409	0.036389
0.18657	0.010191
0.16274	0.0055536
0.14138	0.010987
0.12520	0.0056942
0.11032	0.0057503
0.096246	0.0057763
0.083547	0.0056774
0.073007	0.0057635
0.063111	0.0059429
0.055426	0.0059895
0.050492	0.0059063
0.043830	0.010814
0.037983	0.010444
0.033219	0.010118
0.028788	0.010689
0.025052	0.010793
0.021710	0.019152
