#m [GeV]	cWW
0.17773	0.18343
0.19360	0.14322
0.21037	0.14126
0.22723	0.37623
0.24648	0.19842
0.26918	0.12753
0.29273	0.26457
0.31727	0.12495
0.34561	0.11833
0.37490	0.097762
0.40598	0.088088
0.44337	0.084165
0.47891	0.085672
0.52213	0.085573
0.56686	0.091085
0.61229	0.085416
0.66812	0.056258
0.72719	0.055367
0.79216	0.088216
0.84771	0.085160
0.93130	0.056206
1.0102	0.091035
1.0977	0.092144
1.1927	0.054484
1.2950	0.053335
1.4034	0.086665
1.5275	0.054081
1.6569	0.053295
1.8034	0.049899
1.9595	0.049899
2.1256	0.048836
2.3096	0.050938
2.5116	0.054270
