#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  gamma  gamma) 

0.1,2.3519113634485125e+18,1e-07,2.726216010917368e-21
0.1,1.6350318371175466e+17,3.792690190732254e-07,3.921525116352113e-20
0.1,1.136662354685083e+16,1.438449888287663e-06,5.640917365533966e-19
0.1,790199480663295.6,5.455594781168514e-06,8.114176954292171e-18
0.1,54934098650037.71,2.06913808111479e-05,1.1671836933446744e-16
0.1,3818978964601.9404,7.847599703514623e-05,1.6789352533004214e-15
0.1,265492666495.07376,0.00029763514416313193,2.4150642275023106e-14
0.1,18456858919.118664,0.0011288378916846883,3.4739488672270674e-13
0.1,1283107536.6492023,0.004281332398719396,4.997101338763395e-12
0.1,89200712.2167248,0.01623776739188724,7.188079439704003e-11
0.1,6201169.989494126,0.06158482110660267,1.0339686476860471e-09
0.1,2351912.3646693584,0.1,2.7262149710927555e-09
0.1,1136663.7019796348,0.14384498882876628,5.640934467416984e-09
0.1,549342.9534660138,0.20691380811147897,1.1672073050577122e-08
0.1,431103.0728675932,0.23357214690901212,1.4873635954499962e-08
0.1,265495.6500790177,0.29763514416313175,2.415278413940941e-08
0.1,128315.19897108164,0.42813323987193935,4.998705304201133e-08
0.1,62017.90285299688,0.6158482110660264,1.0350025721774164e-07
0.1,29977.77410491334,0.8858667904100825,2.145238850628401e-07
0.1,29977.774104913275,0.8858667904100832,2.145238850628413e-07
0.1,14493.516688380678,1.2742749857031335,4.4557428870948785e-07
0.1,7000.254259002875,1.8329807108324356,9.290395699913218e-07
0.1,3384.0299560308918,2.636650898730358,1.9008067839275212e-06
0.1,2082.426052318538,3.359818286283788,3.1003045275103172e-06
0.1,1635.0013726169739,3.79269019073225,3.918553478083687e-06
0.1,789.5286187047934,5.455594781168517,8.151593506288524e-06
0.1,381.53221176502166,7.847599703514611,1.685888814294114e-05
0.1,184.3447845024669,11.288378916846883,3.476633461710358e-05
0.1,144.67700451044442,12.742749857031322,4.435039945625131e-05
0.1,89.11390374284653,16.23776739188721,7.213539685748375e-05
0.1,43.05138622000772,23.357214690901213,0.00014864811443223366
0.1,20.80425182103661,33.59818286283781,0.0003072800925327343
