#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  gamma  gamma) ,        BR_BaBar(B+->K+  a)*BR_BaBar(a->  gamma  gamma) ,  Allowed/excluded  (1/0) 

0.1,2.3519113634485125e+18,1e-07,2.726216010917368e-21,2.0046e-06,1
0.1,1.6350318371175466e+17,3.792690190732254e-07,3.921525116352113e-20,2.0046e-06,1
0.1,1.136662354685083e+16,1.438449888287663e-06,5.640917365533966e-19,2.0046e-06,1
0.1,790199480663295.6,5.455594781168514e-06,8.114176954292171e-18,2.0046e-06,1
0.1,54934098650037.71,2.06913808111479e-05,1.1671836933446744e-16,2.0046e-06,1
0.1,3818978964601.9404,7.847599703514623e-05,1.6789352533004214e-15,2.0046e-06,1
0.1,265492666495.07376,0.00029763514416313193,2.4150642275023106e-14,2.0046e-06,1
0.1,18456858919.118664,0.0011288378916846883,3.4739488672270674e-13,2.0046e-06,1
0.1,1283107536.6492023,0.004281332398719396,4.997101338763395e-12,2.0046e-06,1
0.1,89200712.2167248,0.01623776739188724,7.188079439704003e-11,2.0046e-06,1
0.1,6201169.989494126,0.06158482110660267,1.0339686476860471e-09,2.0046e-06,1
0.1,2351912.3646693584,0.1,2.7262149710927555e-09,2.0046e-06,1
0.1,1136663.7019796348,0.14384498882876628,5.640934467416984e-09,2.0046e-06,1
0.1,549342.9534660138,0.20691380811147897,1.1672073050577122e-08,2.0046e-06,1
0.1,431103.0728675932,0.23357214690901212,1.4873635954499962e-08,2.0046e-06,1
0.1,265495.6500790177,0.29763514416313175,2.415278413940941e-08,2.0046e-06,1
0.1,128315.19897108164,0.42813323987193935,4.998705304201133e-08,2.0046e-06,1
0.1,62017.90285299688,0.6158482110660264,1.0350025721774164e-07,2.0046e-06,1
0.1,29977.77410491334,0.8858667904100825,2.145238850628401e-07,2.0046e-06,1
0.1,29977.774104913275,0.8858667904100832,2.145238850628413e-07,2.0046e-06,1
0.1,14493.516688380678,1.2742749857031335,4.4557428870948785e-07,2.0046e-06,1
0.1,7000.254259002875,1.8329807108324356,9.290395699913218e-07,2.0046e-06,1
0.1,3384.0299560308918,2.636650898730358,1.9008067839275212e-06,2.0046e-06,1
0.1,2082.426052318538,3.359818286283788,3.1003045275103172e-06,2.0046e-06,0
0.1,1635.0013726169739,3.79269019073225,3.918553478083687e-06,2.0046e-06,0
0.1,789.5286187047934,5.455594781168517,8.151593506288524e-06,2.0046e-06,0
0.1,381.53221176502166,7.847599703514611,1.685888814294114e-05,2.0046e-06,0
0.1,184.3447845024669,11.288378916846883,3.476633461710358e-05,1.2711393066755664e-06,0
0.1,144.67700451044442,12.742749857031322,4.435039945625131e-05,1.0758574702935058e-06,0
0.1,89.11390374284653,16.23776739188721,7.213539685748375e-05,8.023240294213393e-07,0
0.1,43.05138622000772,23.357214690901213,0.00014864811443223366,5.755613264909055e-07,0
0.1,20.80425182103661,33.59818286283781,0.0003072800925327343,3.847965908287271e-07,0
0.1,10.055615062399493,48.32930238571752,0.0006368017171477585,2.62183308444034e-07,0
0.1,10.055615062399493,48.32930238571752,0.0006368017171477585,2.62183308444034e-07,0
0.1,4.860226662922549,69.51927961775606,0.001318805112554774,2.0291778117506735e-07,0
0.1,2.348385656665201,100.0,0.0027217299350096734,1.855e-07,0
0.1,0.6989916455262981,183.29807108324374,0.009148343010419556,1.855e-07,0
0.1,0.0485958144078529,695.192796177562,0.13163615516906882,1.855e-07,0
0.1,0.0033781589276396314,2636.6508987303664,1.8920161985428312,1.855e-07,0
0.1,0.00023487847473518996,10000.0,27.256970979379265,1.855e-07,0
0.10860369854989779,1.835968373400292e+18,1e-07,2.7263131560940488e-21,2.0046e-06,1
0.10860369854989779,1.2763519871977126e+17,3.792690190732254e-07,3.921664854820657e-20,2.0046e-06,1
0.10860369854989779,8873107068867657.0,1.438449888287663e-06,5.641118372318433e-19,2.0046e-06,1
0.10860369854989779,616852011398900.6,5.455594781168514e-06,8.114466092478832e-18,2.0046e-06,1
0.10860369854989779,42883107463215.73,2.06913808111479e-05,1.1672252844239046e-16,2.0046e-06,1
0.10860369854989779,2981202738614.0254,7.847599703514623e-05,1.6789950799836936e-15,2.0046e-06,1
0.10860369854989779,207251066783.38275,0.00029763514416313193,2.4151502851881786e-14,2.0046e-06,1
0.10860369854989779,14407944863.247261,0.0011288378916846883,3.4740726568956544e-13,2.0046e-06,1
0.10860369854989779,1001629948.1215404,0.004281332398719396,4.997279403997617e-12,2.0046e-06,1
0.10860369854989779,69632592.90199164,0.01623776739188724,7.188335577605761e-11,2.0046e-06,1
0.10860369854989779,4840808.269139947,0.06158482110660267,1.0340054918213007e-09,2.0046e-06,1
0.10860369854989779,1835969.1538397379,0.1,2.7263121162483614e-09,2.0046e-06,1
0.10860369854989779,887311.7572381905,0.14384498882876628,5.641135474909643e-09,2.0046e-06,1
0.10860369854989779,428832.6082775185,0.20691380811147897,1.1672488970438412e-08,2.0046e-06,1
0.10860369854989779,336531.2209414715,0.23357214690901212,1.487416595849361e-08,2.0046e-06,1
0.10860369854989779,207253.39330526537,0.29763514416313175,2.415364479702405e-08,2.0046e-06,1
0.10860369854989779,100166.46134861506,0.42813323987193935,4.9988834294880053e-08,2.0046e-06,1
0.10860369854989779,48412.92003808172,0.6158482110660264,1.0350394549081632e-07,2.0046e-06,1
0.10860369854989779,23401.490203555095,0.8858667904100825,2.1453153031040877e-07,2.0046e-06,1
0.10860369854989779,23401.490203555062,0.8858667904100832,2.1453153031041e-07,2.0046e-06,1
0.10860369854989779,11314.040955098055,1.2742749857031335,4.455901710215102e-07,2.0046e-06,1
0.10860369854989779,5464.5907269704085,1.8329807108324356,9.290726932632828e-07,2.0046e-06,1
0.10860369854989779,2641.668637778541,2.636650898730358,1.9008745251428922e-06,2.0046e-06,1
0.10860369854989779,1625.599685826045,3.359818286283788,3.1004150343844065e-06,2.0046e-06,0
0.10860369854989779,1276.3282739776716,3.79269019073225,3.918693106548741e-06,2.0046e-06,0
0.10860369854989779,616.3282197608811,5.455594781168517,8.15188401501382e-06,2.0046e-06,0
0.10860369854989779,297.83479631195706,7.847599703514611,1.6859488939867837e-05,1.8298430688128992e-06,0
0.10860369854989779,143.90476145601693,11.288378916846883,3.4767573429942474e-05,1.0720557692194296e-06,0
0.10860369854989779,112.93896006541657,12.742749857031322,4.4351979840639814e-05,9.196131933602635e-07,0
0.10860369854989779,69.56481860663713,16.23776739188721,7.213796756293145e-05,7.060851865681229e-07,0
0.10860369854989779,33.60713439199828,23.357214690901213,0.0001486534108890371,5.290679043584035e-07,0
0.10860369854989779,16.240390964866585,33.59818286283781,0.0003072910407285124,3.327351087554436e-07,0
0.10860369854989779,7.849698377217358,48.32930238571752,0.0006368244073840461,2.3701968151059966e-07,0
0.10860369854989779,7.849698377217358,48.32930238571752,0.0006368244073840461,2.3701968151059966e-07,0
0.10860369854989779,3.7940304342040547,69.51927961775606,0.0013188521057349782,1.907553253953326e-07,0
0.10860369854989779,1.8332166880796232,100.0,0.0027218269079717825,1.855e-07,0
0.10860369854989779,0.5456527565827942,183.29807108324374,0.009148668963877225,1.855e-07,0
0.10860369854989779,0.037935273540610416,695.192796177562,0.13164084540583948,1.855e-07,0
0.10860369854989779,0.0026370870099266426,2636.6508987303664,1.8920836094714533,1.855e-07,0
0.10860369854989779,0.0001833527989651559,10000.0,27.257942185419047,1.855e-07,0
0.11794763338717075,1.4332781923089597e+18,1e-07,2.7264273695245648e-21,2.0046e-06,1
0.11794763338717075,9.964046742115822e+16,3.792690190732254e-07,3.9218291451170235e-20,2.0046e-06,1
0.11794763338717075,6926933515895429.0,1.438449888287663e-06,5.641354695676888e-19,2.0046e-06,1
0.11794763338717075,481555427985141.75,5.455594781168514e-06,8.1148060317874e-18,2.0046e-06,1
0.11794763338717075,33477386449547.523,2.06913808111479e-05,1.1672741829899478e-16,2.0046e-06,1
0.11794763338717075,2327323789458.1216,7.847599703514623e-05,1.6790654181205566e-15,2.0046e-06,1
0.11794763338717075,161793873280.74857,0.00029763514416313193,2.41525146307329e-14,2.0046e-06,1
0.11794763338717075,11247793517.398544,0.0011288378916846883,3.474218196213147e-13,2.0046e-06,1
0.11794763338717075,781938502.9741534,0.004281332398719396,4.997488755011738e-12,2.0046e-06,1
0.11794763338717075,54359801.79434254,0.01623776739188724,7.188636718531393e-11,2.0046e-06,1
0.11794763338717075,3779054.7071846733,0.06158482110660267,1.034048809412283e-09,2.0046e-06,1
0.11794763338717075,1433278.8007592007,0.1,2.7264263296488565e-09,2.0046e-06,1
0.11794763338717075,692694.1708073193,0.14384498882876628,5.641371799068305e-09,2.0046e-06,1
0.11794763338717075,334775.06109729427,0.20691380811147897,1.1672977966546216e-08,2.0046e-06,1
0.11794763338717075,262718.50095760525,0.23357214690901212,1.4874789082943408e-08,2.0046e-06,1
0.11794763338717075,161795.68899623808,0.29763514416313175,2.4154656669364924e-08,2.0046e-06,1
0.11794763338717075,78196.55617166209,0.42813323987193935,4.999092850155073e-08,2.0046e-06,1
