#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  gamma  gamma) 

0.1,4.9943803105404344e+16,1e-07,3.477625672426869e-17
0.1,3472057213256257.5,3.792690190732254e-07,5.002390260048699e-16
0.1,241374916254721.94,1.438449888287663e-06,7.195687711563562e-15
0.1,16780210293361.602,5.455594781168514e-06,1.0350636201731565e-13
0.1,1166548129023.538,2.06913808111479e-05,1.4888871830283312e-12
0.1,81097582975.05365,7.847599703514623e-05,2.141690438535568e-11
0.1,5637839449.955945,0.00029763514416313193,3.0807606387258527e-10
0.1,391924312.69702995,0.0011288378916846883,4.433408901624961e-09
0.1,27240265.498087183,0.004281332398719396,6.392212042894662e-08
0.1,1893230.4803003904,0.01623776739188724,9.219469145799744e-07
0.1,131600.47918916572,0.06158482110660267,1.3277658911232636e-05
0.1,49911.047534718535,0.1,3.501521207876382e-05
0.1,24121.43368014934,0.14384498882876628,7.245822682153636e-05
0.1,11657.643046696337,0.20691380811147897,0.00014993617872491986
0.1,9148.435638826522,0.23357214690901212,0.00019106329926410275
0.1,5634.031216672405,0.29763514416313175,0.0003102533422662478
0.1,2722.879066928972,0.42813323987193935,0.0006419782842902183
0.1,1315.9454466752993,0.6158482110660264,0.0013283724804839542
0.1,635.986238820557,0.8858667904100825,0.0027486304967611437
0.1,635.9862388205561,0.8858667904100832,0.0027486304967611432
0.1,307.36737050545867,1.2742749857031335,0.0056873600733339654
0.1,148.54839082614637,1.8329807108324356,0.011768025587631471
0.1,71.79236227313858,2.636650898730358,0.024349802780038985
0.1,44.21318615987995,3.359818286283788,0.03953874937179512
0.1,34.696734833256414,3.79269019073225,0.05038329552447005
0.1,16.768685518640904,5.455594781168517,0.1042502707916062
0.1,8.104187259260582,7.847599703514611,0.2157086015262168
0.1,3.916696672012625,11.288378916846883,0.4463314520080451
0.1,3.0736666631887117,12.742749857031322,0.5687491937820325
0.1,1.892912011999546,16.23776739188721,0.9235222244636213
0.1,0.9148311143442523,23.357214690901213,1.9108961835340899
0.1,0.4421314768102254,33.59818286283781,3.953909760139582
0.1,0.21367905206667326,48.32930238571752,8.181187696258156
0.1,0.21367905206667326,48.32930238571752,8.181187696258156
0.1,0.1032695930903193,69.51927961775606,16.92801052430649
0.1,0.049909473205515885,100.0,35.02639626711999
0.1,0.014854813033100779,183.29807108324374,117.68234428035632
0.1,0.0010326958874264857,695.192796177562,1692.8017736276504
0.1,7.179227391081491e-05,2636.6508987303664,24350.106070466198
0.1,4.990947159867643e-06,10000.0,350264.07678775315
0.11037591174995746,4.507866784468847e+16,1e-07,3.872750633733342e-17
0.11037591174995746,3133836514688543.5,3.792690190732254e-07,5.570757716512809e-16
0.11037591174995746,217862056938677.0,1.438449888287663e-06,8.013255816091634e-15
0.11037591174995746,15145613252151.35,5.455594781168514e-06,1.1526666955880085e-13
0.11037591174995746,1052912120443.6158,2.06913808111479e-05,1.6580533249740517e-12
0.11037591174995746,73197689724.71548,7.847599703514623e-05,2.3850277755370332e-11
0.11037591174995746,5088645038.018466,0.00029763514416313193,3.4308087739370894e-10
0.11037591174995746,353745817.76031846,0.0011288378916846883,4.937460995557235e-09
0.11037591174995746,24586592.181846045,0.004281332398719396,7.120046421004313e-08
0.11037591174995746,1708787.3090746494,0.01623776739188724,1.0270241319155453e-06
0.11037591174995746,118779.32937433379,0.06158482110660267,1.4791474859054474e-05
0.11037591174995746,45048.45538550075,0.1,3.900757851141539e-05
0.11037591174995746,21771.394474220433,0.14384498882876628,8.071998096975374e-05
0.11037591174995746,10521.89151635041,0.20691380811147897,0.00016703234215705492
0.11037591174995746,8257.14454181474,0.23357214690901212,0.00021284899814825322
0.11037591174995746,5085.132470671919,0.29763514416313175,0.0003456297754380239
0.11037591174995746,2457.6008245214443,0.42813323987193935,0.0007151800650826398
0.11037591174995746,1187.7385565534037,0.6158482110660264,0.0014798414884855588
0.11037591174995746,574.0248220539373,0.8858667904100825,0.003062047161504081
0.11037591174995746,574.0248220539366,0.8858667904100832,0.0030620471615040797
0.11037591174995746,277.42187658872416,1.2742749857031335,0.006335871616072457
0.11037591174995746,134.0759514576842,1.8329807108324356,0.013109898751475767
0.11037591174995746,64.79793629461288,2.636650898730358,0.027126342701349962
0.11037591174995746,39.90568234317231,3.359818286283788,0.044047245513138385
0.11037591174995746,31.31637856290949,3.79269019073225,0.056128367443846916
0.11037591174995746,15.134983254892811,5.455594781168517,0.11613765736235664
0.11037591174995746,7.314630466365388,7.847599703514611,0.240305302580449
0.11037591174995746,3.5351094204586877,11.288378916846883,0.49722550457633197
0.11037591174995746,2.7742122708165327,12.742749857031322,0.6336022390105325
0.11037591174995746,1.7084935682320226,16.23776739188721,1.0288291643446958
0.11037591174995746,0.8257029713360141,23.357214690901213,2.1287909522440254
0.11037591174995746,0.39905646852168664,33.59818286283781,4.404764367154025
0.11037591174995746,0.19286120154768513,48.32930238571752,9.114068482818503
0.11037591174995746,0.19286120154768513,48.32930238571752,9.114068482818503
0.11037591174995746,0.09320847132724566,69.51927961775606,18.858270188599345
0.11037591174995746,0.04504700330050036,100.0,39.02037076948789
0.11037591174995746,0.013407571118978846,183.29807108324374,131.10137537152661
0.11037591174995746,0.0009320846731716832,695.192796177562,1885.8278434520232
0.11037591174995746,6.47978547935555e-05,2636.6508987303664,27126.68947790772
0.11037591174995746,4.504700181843079e-06,10000.0,390203.8381718317
0.12182841894634397,4.01050398948726e+16,1e-07,5.762659481919012e-17
0.12182841894634397,2788073482530732.0,3.792690190732254e-07,8.289296888107917e-16
0.12182841894634397,193824860024736.7,1.438449888287663e-06,1.192373818477916e-14
0.12182841894634397,13474564638784.902,5.455594781168514e-06,1.715169990268394e-13
0.12182841894634397,936742024754.302,2.06913808111479e-05,2.467186167930775e-12
0.12182841894634397,65121628484.664474,7.847599703514623e-05,3.5489259747724884e-11
0.12182841894634397,4527203350.143588,0.00029763514416313193,5.105087595255278e-10
0.12182841894634397,314715407.45026433,0.0011288378916846883,7.347818307259306e-09
0.12182841894634397,21873484.09702714,0.004281332398719396,1.0598712720555703e-07
0.12182841894634397,1520195.0847541487,0.01623776739188724,1.529067417893044e-06
0.12182841894634397,105669.19899100049,0.06158482110660267,2.202339338982112e-05
0.12182841894634397,40076.22921997594,0.1,5.807988065428589e-05
0.12182841894634397,19368.361992923827,0.14384498882876628,0.0001201876213830299
0.12182841894634397,9360.526003964942,0.20691380811147897,0.00024870277840557915
0.12182841894634397,7345.752060740555,0.23357214690901212,0.00031692174338520274
0.12182841894634397,4523.8537484337785,0.29763514416313175,0.0005146265375724215
0.12182841894634397,2186.339115447633,0.42813323987193935,0.0010648712460732163
0.12182841894634397,1056.6397938681491,0.6158482110660264,0.002203420403949177
0.12182841894634397,510.665748092544,0.8858667904100825,0.004559260102744325
0.12182841894634397,510.66574809254337,0.8858667904100832,0.004559260102744321
0.12182841894634397,246.80089279042028,1.2742749857031335,0.009433852661682054
0.12182841894634397,119.27704853343417,1.8329807108324356,0.01952010799409758
