#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  gamma  gamma) ,        BR_BaBar(B+->K+  a)*BR_BaBar(a->  gamma  gamma) ,  Allowed/excluded  (1/0) 

0.1,1.248595077634908e+16,1e-07,1.3910502689731277e-16,2.0046e-06,1
0.1,868014303312056.2,3.792690190732254e-07,2.000956104069066e-15,2.0046e-06,1
0.1,60343729061684.72,1.438449888287663e-06,2.878275085645471e-14,2.0046e-06,1
0.1,4195052571381.109,5.455594781168514e-06,4.140254501427253e-13,2.0046e-06,1
0.1,291637030315.42957,2.06913808111479e-05,5.955549155987284e-12,2.0046e-06,1
0.1,20274392709.185856,7.847599703514623e-05,8.566774981463907e-11,2.0046e-06,1
0.1,1409450164.317243,0.00029763514416313193,1.232388497754462e-09,2.0046e-06,1
0.1,97972399.8928847,0.0011288378916846883,1.7749143186490994e-08,2.0046e-06,1
0.1,6809036.81088522,0.004281332398719396,2.5606956880357477e-07,2.0046e-06,1
0.1,473271.2607717369,0.01623776739188724,3.690576653503797e-06,2.0046e-06,0
0.1,32899.311327471296,0.06158482110660267,5.31234758573186e-05,2.0046e-06,0
0.1,12477.56780154328,0.1,0.00014008227938993605,2.0046e-06,0
0.1,6030.292327789721,0.14384498882876628,0.0002898641544235,2.0046e-06,0
0.1,2914.388346303665,0.20691380811147897,0.0005997900881975237,2.0046e-06,0
0.1,2287.093288486473,0.23357214690901212,0.0007643045422536377,2.0046e-06,0
0.1,1408.500223555342,0.29763514416313175,0.0012410790665500447,2.0046e-06,0
0.1,680.717208149823,0.42813323987193935,0.0025680080730734116,2.0046e-06,0
0.1,328.98549930062325,0.6158482110660264,0.005313626918035612,1.98319590291257e-06,0
0.1,158.99626932499493,0.8858667904100825,0.010994719486135396,1.1463502563578838e-06,0
0.1,158.99626932499464,0.8858667904100832,0.01099471948613547,1.1463502563578821e-06,0
0.1,76.84174491404285,1.2742749857031335,0.02274972482400831,7.419090096510608e-07,0
0.1,37.13706484190782,1.8329807108324356,0.04707251207250591,5.464455166346116e-07,0
0.1,17.948079518167045,2.636650898730358,0.09739980092406685,3.522152813124597e-07,0
0.1,11.05329119757846,3.359818286283788,0.15815574933461282,2.7356413267673224e-07,0
