#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  mu  mu) 

0.3,863258904817233.9,1e-06,2.4690894130787078e-21
0.3,327407358036258.9,1.6237767391887209e-06,6.510126820039564e-21
0.3,124175467519768.2,2.6366508987303555e-06,1.7164931730906026e-20
0.3,47095907759181.46,4.281332398719396e-06,4.5257932674938693e-20
0.3,17862018738187.867,6.951927961775606e-06,1.1932936886205616e-19
0.3,6774510325500.092,1.1288378916846883e-05,3.146298876550822e-19
0.3,2569361885853.8584,1.8329807108324375e-05,8.295691760532835e-19
0.3,974479362091.9359,2.9763514416313192e-05,2.1872843136004632e-18
0.3,369589831767.72144,4.8329302385717524e-05,5.767105151237432e-18
0.3,140173972953.99304,7.847599703514606e-05,1.5205842980110282e-17
0.3,53163645221.86845,0.00012742749857031334,4.0092499559652914e-17
0.3,20163323573.665756,0.00020691380811147902,1.0570992499764091e-16
0.3,7647323953.051068,0.0003359818286283781,2.787201687590406e-16
0.3,2900393054.219683,0.0005455594781168515,7.348877835174476e-16
0.3,1100029228.6115294,0.0008858667904100823,1.937642535327023e-15
0.3,417207006.49821603,0.0014384498882876629,5.108886935319726e-15
0.3,158233692.11590788,0.002335721469090121,1.3470351351348938e-14
0.3,60013137.2039984,0.003792690190732246,3.5516614149239376e-14
0.3,22761123.689752482,0.00615848211066026,9.364491368757651e-14
0.3,8632589.065754909,0.01,2.469089534522595e-13
0.35384615384615387,527096769569819.25,1e-06,2.010756929651481e-21
0.35384615384615387,199911474751411.06,1.6237767391887209e-06,5.301664065693855e-21
0.35384615384615387,75820228930449.58,2.6366508987303555e-06,1.3978637323578228e-20
0.35384615384615387,28756263852358.87,4.281332398719396e-06,3.685678666223832e-20
0.35384615384615387,10906359983495.01,6.951927961775606e-06,9.717847967730461e-20
0.35384615384615387,4136444452599.636,1.1288378916846883e-05,2.5622572577842763e-19
0.35384615384615387,1568825229988.3496,1.8329807108324375e-05,6.75577790151594e-19
0.35384615384615387,595006806075.0155,2.9763514416313192e-05,1.781262787565936e-18
0.35384615384615387,225667647681.97076,4.8329302385717524e-05,4.696568129713899e-18
0.35384615384615387,85588747372.91043,7.847599703514606e-05,1.2383210580181071e-17
0.35384615384615387,32461160259.836754,0.00012742749857031334,3.2650203305558815e-17
0.35384615384615387,12311512409.734041,0.00020691380811147902,8.608718789042126e-17
0.35384615384615387,4669375234.954704,0.0003359818286283781,2.2698186132803624e-16
