#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  mu  mu) 

0.3,5666476474.465389,1e-06,1.0893240628768214e-13
0.3,3533335565.557121,1.2663801734674021e-06,1.7469694177152948e-13
0.3,2203213985.810203,1.6037187437513308e-06,2.801647600105748e-13
0.3,1373815698.2803473,2.030917620904735e-06,4.4930547700742704e-13
0.3,856643787.2071204,2.571913809059347e-06,7.205596152493677e-13
0.3,534160862.38737047,3.257020655659783e-06,1.1555749612285181e-12
0.3,333076397.87249583,4.124626382901348e-06,1.8532172258063226e-12
0.3,207690032.40266615,5.223345074266844e-06,2.972039202997681e-12
0.3,129505272.16443065,6.6147406412301455e-06,4.766314981442754e-12
0.3,80753107.52035245,8.376776400682924e-06,7.643828685712373e-12
0.3,50353659.46629222,1.0608183551394482e-05,1.2258551366352565e-11
0.3,31398061.315172516,1.3433993325988988e-05,1.9659268671795543e-11
0.3,19578284.172272895,1.7012542798525893e-05,3.152793784762852e-11
0.3,12208053.457638402,2.1544346900318823e-05,5.056194536530404e-11
0.3,7612340.684852189,2.7283333764867696e-05,8.108714075390468e-11
0.3,4746680.611494901,3.455107294592218e-05,1.3004097073251452e-10
0.3,2959796.1688371645,4.37547937507418e-05,2.0854915062490422e-10
0.3,1845583.0624779637,5.541020330009492e-05,3.3445420406112636e-10
0.3,1150814.66140028,7.017038286703822e-05,5.363705359865946e-10
0.3,717591.3137746819,8.886238162743407e-05,8.601876493038513e-10
0.3,447454.5755714863,0.00011253355826007646,1.379499539622784e-09
0.3,279010.6114695797,0.00014251026703029977,2.212330722707225e-09
0.3,173977.2500907254,0.00018047217668271703,3.54796077912675e-09
0.3,108483.61511117857,0.00022854638641349906,5.6899456726089505e-09
0.3,67645.00397065532,0.0002894266124716752,9.125119114352201e-09
0.3,42180.049674705086,0.0003665241237079626,1.4634273250833643e-08
0.3,26301.349723424082,0.00046415888336127773,2.3469720910575186e-08
0.3,16400.16630114022,0.0005878016072274912,3.7640213565952624e-08
0.3,10226.269947164677,0.0007443803013251688,6.036823279854381e-08
0.3,6376.530007256722,0.0009426684551178855,9.6824087951736e-08
0.3,3976.0242063890437,0.0011937766417144358,1.5530446208755722e-07
0.3,2479.1938454777987,0.0015117750706156615,2.4912428968264507e-07
0.3,1545.8540352965833,0.0019144819761699576,3.99652957093117e-07
0.3,963.8803373313708,0.0024244620170823282,6.411855618368958e-07
0.3,601.0006608518222,0.00307029062975785,1.0287565283140854e-06
0.3,374.73552844326287,0.003888155180308085,1.6506712174034456e-06
0.3,233.6543925614629,0.0049238826317067365,2.6486034132466165e-06
0.3,145.68781560912842,0.006235507341273912,4.249826467586614e-06
0.3,90.83926058448878,0.007896522868499725,6.818904210410784e-06
0.3,56.640314633984,0.01,1.0940591216531385e-05
0.35384615384615387,4251444301.527475,1e-06,1.0900689521177777e-13
0.35384615384615387,2650991215.3106446,1.2663801734674021e-06,1.7481640105530762e-13
0.35384615384615387,1653027518.4636936,1.6037187437513308e-06,2.803563391030956e-13
0.35384615384615387,1030746522.6623079,2.030917620904735e-06,4.4961271598904095e-13
0.35384615384615387,642722750.8968409,2.571913809059347e-06,7.210523401630638e-13
0.35384615384615387,400770243.153625,3.257020655659783e-06,1.1563651534083071e-12
0.35384615384615387,249900579.32640088,4.124626382901348e-06,1.85448447181668e-12
0.35384615384615387,155825689.6894078,5.223345074266844e-06,2.974071509178627e-12
0.35384615384615387,97165223.19333917,6.6147406412301455e-06,4.769574228961233e-12
0.35384615384615387,60587446.24549604,8.376776400682924e-06,7.649055602056101e-12
0.35384615384615387,37779346.576961145,1.0608183551394482e-05,1.226693387008504e-11
0.35384615384615387,23557339.2846383,1.3433993325988988e-05,1.9672711850202105e-11
0.35384615384615387,14689196.196786463,1.7012542798525893e-05,3.15494969249458e-11
0.35384615384615387,9159459.064041749,2.1544346900318823e-05,5.05965200620315e-11
0.35384615384615387,5711387.415396573,2.7283333764867696e-05,8.114258884396825e-11
0.35384615384615387,3561339.8075241544,3.455107294592218e-05,1.3012989387608002e-10
0.35384615384615387,2220676.0431092368,4.37547937507418e-05,2.0869175834278918e-10
0.35384615384615387,1384704.1683358646,5.541020330009492e-05,3.346829067466224e-10
0.35384615384615387,863433.2916361202,7.017038286703822e-05,5.367373108114831e-10
0.35384615384615387,538394.452976647,8.886238162743407e-05,8.607758530806734e-10
0.35384615384615387,335716.24519754143,0.00011253355826007646,1.3804428533786857e-09
0.35384615384615387,209336.09793412738,0.00014251026703029977,2.213843533663517e-09
0.35384615384615387,130531.66139999048,0.00018047217668271703,3.550386905544193e-09
0.35384615384615387,81393.09310723716,0.00022854638641349906,5.6938365070112776e-09
0.35384615384615387,50752.69754614532,0.0002894266124716752,9.131358950557447e-09
0.35384615384615387,31646.850143886953,0.0003665241237079626,1.4644280295596316e-08
0.35384615384615387,19733.37821347386,0.00046415888336127773,2.348576971429807e-08
0.35384615384615387,12304.71773494732,0.0005878016072274912,3.766595228377947e-08
0.35384615384615387,7672.566416578017,0.0007443803013251688,6.04095131533213e-08
0.35384615384615387,4784.1833088064295,0.0009426684551178855,9.689029718298778e-08
0.35384615384615387,2983.13167580416,0.0011937766417144358,1.554106608067444e-07
0.35384615384615387,1860.0897048232493,0.0015117750706156615,2.492946434213196e-07
0.35384615384615387,1159.8234572303409,0.0019144819761699576,3.9992624404835556e-07
0.35384615384615387,723.1801968726407,0.0024244620170823282,6.416240116535616e-07
0.35384615384615387,450.9188117806084,0.00307029062975785,1.0294600039294794e-06
0.35384615384615387,281.15659482250845,0.003888155180308085,1.651799966186431e-06
0.35384615384615387,175.30623178568533,0.0049238826317067365,2.6504145610871362e-06
0.35384615384615387,109.30666315744779,0.006235507341273912,4.252732553105987e-06
0.35384615384615387,68.1548859862166,0.007896522868499725,6.823567066162567e-06
0.35384615384615387,42.496098743895246,0.01,1.0948072538602526e-05
0.4076923076923077,3460817051.105526,1e-06,1.0909353620180353e-13
0.4076923076923077,2157995012.890503,1.2663801734674021e-06,1.74955348834994e-13
0.4076923076923077,1345619374.524184,1.6037187437513308e-06,2.805791722617938e-13
0.4076923076923077,839061948.8336701,2.030917620904735e-06,4.499700777024064e-13
0.4076923076923077,523197694.166678,2.571913809059347e-06,7.21625447841169e-13
0.4076923076923077,326240306.28449035,3.257020655659783e-06,1.1572842569340821e-12
0.4076923076923077,203427382.47875628,4.124626382901348e-06,1.8559584553689543e-12
0.4076923076923077,126847293.67938003,5.223345074266844e-06,2.976435364230777e-12
