#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  mu  mu) ,        BR_BaBar(B+->K+  a)*BR_BaBar(a->  mu  mu) ,  Allowed/excluded  (1/0) 

0.3,1416619118.5937269,1e-06,4.3572962522552636e-13,1000000.0,1
0.3,883333891.3666949,1.2663801734674021e-06,6.987877672782734e-13,1000000.0,1
0.3,550803496.4300056,1.6037187437513308e-06,1.1206590405355277e-12,1000000.0,1
0.3,343453924.5475923,2.030917620904735e-06,1.7972219092955819e-12,1000000.0,1
0.3,214160946.7793467,2.571913809059347e-06,2.882238464244628e-12,1000000.0,1
0.3,133540215.57448244,3.257020655659783e-06,4.622299853238849e-12,1000000.0,1
0.3,83269099.44584982,4.124626382901348e-06,7.41286892455533e-12,1000000.0,1
0.3,51922508.078490786,5.223345074266844e-06,1.188815686661298e-11,1000000.0,1
0.3,32376318.01903996,6.6147406412301455e-06,1.906526006557909e-11,1000000.0,1
0.3,20188276.85813113,8.376776400682924e-06,3.0575315100622e-11,1000000.0,1
0.3,12588414.84471555,1.0608183551394482e-05,4.903420638130097e-11,1000000.0,1
0.3,7849515.306998505,1.3433993325988988e-05,7.863707703522236e-11,1000000.0,1
0.3,4894571.021256367,1.7012542798525893e-05,1.2611175742999153e-10,1000000.0,1
0.3,3052013.342429062,2.1544346900318823e-05,2.0224779709382442e-10,1000000.0,1
0.3,1903085.1487998797,2.7283333764867696e-05,3.2434860392136373e-10,1000000.0,1
0.3,1186670.1295930368,3.455107294592218e-05,5.201639918261662e-10,1000000.0,1
0.3,739949.0173768492,4.37547937507418e-05,8.341968997320179e-10,1.0496777567707774e-07,1
0.3,461395.7382048679,5.541020330009492e-05,1.33781765461012e-09,6.88098337369658e-08,1
0.3,287703.63387232675,7.017038286703822e-05,2.1454846004571258e-09,3.338528630228169e-08,1
0.3,179397.79088798832,8.886238162743407e-05,3.4407580735859164e-09,2.7540564938741702e-08,1
