#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B->K  mu  mu) 
0.01,9.723772552769363e+16,1e-06,0.0
0.01,8613967181999458.0,3.359818286283781e-06,0.0
0.01,763082746021566.8,1.1288378916846883e-05,0.0
0.01,67598966303545.836,3.792690190732254e-05,0.0
0.01,5988367931438.572,0.00012742749857031334,0.0
0.01,530489627924.2162,0.0004281332398719391,0.0
0.01,46994314405.90399,0.0014384498882876629,0.0
0.01,4163070249.417686,0.004832930238571752,0.0
0.01,368792570.3733759,0.01623776739188721,0.0
0.01,32670111.343736712,0.05455594781168514,0.0
0.01,9723774.97017927,0.1,0.0
0.01,4699433.778255423,0.14384498882876628,0.0
0.01,2894138.7186586503,0.18329807108324336,0.0
0.01,2271204.668226198,0.20691380811147897,0.0
0.01,1097658.4054363372,0.29763514416313175,0.0
0.01,530491.6027254382,0.42813323987193935,0.0
0.01,256383.7626065243,0.6158482110660255,0.0
0.01,256383.76260652352,0.6158482110660264,0.0
0.01,123909.28288031193,0.8858667904100825,0.0
0.01,59885.23371245763,1.2742749857031335,0.0
0.01,28942.818571571388,1.8329807108324356,0.0
0.01,22713.451302574675,2.06913808111479,0.0
0.01,13966.049825562264,2.636650898730358,0.0
0.01,6749.513625755743,3.79269019073225,0.0
0.01,3261.895648574626,5.455594781168517,0.0
0.01,2008.8018926836849,6.951927961775605,0.0
0.01,1576.420611241777,7.847599703514611,0.0
0.01,761.8799583155173,11.288378916846883,0.0
0.01,368.2304961165204,16.23776739188721,0.0
0.01,177.98155798898406,23.357214690901213,0.0
0.01,177.98155798898406,23.357214690901213,0.0
0.01,85.9950756685077,33.59818286283781,0.0
0.01,41.56361855953495,48.32930238571752,0.0
0.01,20.089621427389257,69.51927961775606,0.0
0.01,15.766215419950905,78.47599703514607,0.0
0.01,9.710504384516634,100.0,0.0
0.01,1.3963376219633183,263.6650898730355,0.0
0.01,0.12368583194625898,885.8667904100832,0.0
0.01,0.010956907386304822,2976.3514416313133,0.0
0.01,0.0009706513997299386,10000.0,0.0
0.012115276586285882,5.467982870834476e+16,1e-06,0.0
0.012115276586285882,4843904435803450.0,3.359818286283781e-06,0.0
0.012115276586285882,429105407559837.7,1.1288378916846883e-05,0.0
0.012115276586285882,38013023014265.57,3.792690190732254e-05,0.0
0.012115276586285882,3367447469144.5674,0.00012742749857031334,0.0
0.012115276586285882,298310988137.91534,0.0004281332398719391,0.0
0.012115276586285882,26426379761.927773,0.0014384498882876629,0.0
0.012115276586285882,2341025223.5294785,0.004832930238571752,0.0
0.012115276586285882,207383651.432541,0.01623776739188721,0.0
0.012115276586285882,18371430.249581262,0.05455594781168514,0.0
0.012115276586285882,5467984.230238689,0.1,0.0
0.012115276586285882,2642639.2907533767,0.14384498882876628,0.0
0.012115276586285882,1627465.1482987257,0.18329807108324336,0.0
0.012115276586285882,1277169.7563670645,0.20691380811147897,0.0
0.012115276586285882,617247.8147285084,0.29763514416313175,0.0
0.012115276586285882,298312.0986462004,0.42813323987193935,0.0
0.012115276586285882,144172.64645225235,0.6158482110660255,0.0
0.012115276586285882,144172.6464522519,0.6158482110660264,0.0
0.012115276586285882,69678.0835605618,0.8858667904100825,0.0
0.012115276586285882,33675.34879043352,1.2742749857031335,0.0
0.012115276586285882,16275.45640652676,1.8329807108324356,0.0
0.012115276586285882,12772.487436205367,2.06913808111479,0.0
0.012115276586285882,7853.548545102,2.636650898730358,0.0
0.012115276586285882,3795.463538324457,3.79269019073225,0.0
0.012115276586285882,1834.266389358405,5.455594781168517,0.0
0.012115276586285882,1129.6124058832402,6.951927961775605,0.0
0.012115276586285882,886.4708286603995,7.847599703514611,0.0
0.012115276586285882,428.4290321840719,11.288378916846883,0.0
0.012115276586285882,207.06757415625933,16.23776739188721,0.0
0.012115276586285882,100.08462030156508,23.357214690901213,0.0
0.012115276586285882,100.08462030156508,23.357214690901213,0.0
