#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B->K  mu  mu) 

0.3,3453.155708549055,0.5,6.189764138416516e-10
0.3,863.4543362680533,1.0,2.5146233192402036e-09
0.3,383.7649747784651,1.5,5.665458910505203e-09
0.3,215.9032225111112,2.0,1.0221156123213563e-08
0.3,138.14288065566032,2.5,1.562044477416179e-08
0.3,95.94826744562134,3.0,2.2771852192779454e-08
0.3,70.4811724837788,3.5,3.0562643379875836e-08
0.3,53.920621794263475,4.0,4.1176024835925816e-08
0.3,42.586066245636786,4.5,5.034211248821902e-08
0.3,34.493030715950084,5.0,6.192831085567377e-08
0.3,28.511049840237423,5.5,7.601732599370571e-08
0.3,23.951811861705885,6.0,8.864225498854156e-08
0.3,20.410161575279222,6.5,1.0475251330096995e-07
0.3,17.598502711968464,7.0,1.2151850480140245e-07
0.3,15.332161723008838,7.5,1.4141843724646613e-07
0.3,13.47426880366636,8.0,1.5952094942118426e-07
0.3,11.935030978619004,8.5,1.7919094252906235e-07
0.3,10.64541523343727,9.0,2.0033570432972826e-07
0.3,9.554200725577925,9.5,2.2297042200300542e-07
0.3,8.622681037930644,10.0,2.4714679577938456e-07
0.3,7.821152789724685,10.5,2.729300047030662e-07
0.3,7.1261321855900395,11.0,2.989825958075364e-07
0.3,6.5196645954411805,11.5,3.256531908229689e-07
0.3,5.989025332830051,12.0,3.6200889101790294e-07
0.3,5.5187216291912025,12.5,3.880999479853319e-07
0.3,5.102043789564137,13.0,4.1743411056986014e-07
0.3,4.730989510218227,13.5,4.491651284402455e-07
0.3,4.399082363787534,14.0,4.829912743465651e-07
0.3,4.100983612572428,14.5,5.188131875789232e-07
0.3,3.8322443660155305,15.0,5.566138340411981e-07
0.3,3.5891277986298755,15.5,5.964112984669074e-07
0.3,3.368474603282116,16.0,6.382387308414356e-07
0.3,3.1675983327775756,16.5,6.821353854600291e-07
0.3,2.9842026515824553,17.0,7.281425016766275e-07
0.3,2.8151968459785337,17.5,7.504340235781092e-07
0.3,2.6609247968675698,18.0,7.928453377628004e-07
0.3,2.5190058616227597,18.5,8.367616741032714e-07
0.3,2.388151948385153,19.0,8.821025640943746e-07
0.3,2.2672403981799953,19.5,9.288346328318929e-07
0.3,2.1552882625606236,20.0,9.769501467711707e-07
0.3,2.0514315478039666,20.5,1.0264559623906033e-06
0.3,1.9549081529907606,21.0,1.0773674369530665e-06
0.3,1.8650436827719536,21.5,1.1297048918556814e-06
0.3,1.781239555508466,22.0,1.1834914745780197e-06
0.3,1.7029629734558414,22.5,1.2387518281494817e-06
0.3,1.6297384197641778,23.0,1.295511247310826e-06
0.3,1.561140417415667,23.5,1.3537951383481689e-06
0.3,1.496787337819393,24.0,1.4136286736476774e-06
0.3,1.4363360871848045,24.5,1.4750365737444023e-06
0.3,1.379477530402004,25.0,1.5380429741068195e-06
0.3,1.3259325372090676,25.5,1.6026713487907094e-06
0.3,1.2754485554796133,26.0,1.6689444724055488e-06
0.3,1.2277966326428738,26.5,1.7368844078559074e-06
0.3,1.1827688193871697,27.0,1.8065125112714471e-06
0.3,1.1401759005278016,27.5,1.8778494481813854e-06
0.3,1.0998454067280823,28.0,1.9509152168312726e-06
0.3,1.0616198680238313,28.5,2.0257291757475036e-06
0.3,1.0253552761149027,29.0,2.1023100735877373e-06
0.3,0.9909197273847208,29.5,2.180676079855628e-06
0.3,0.957893523943578,30.0,2.201420779920689e-06
0.3,0.9267370600634216,30.5,2.273908092306329e-06
0.3,0.897077485984514,31.0,2.347839399656852e-06
0.3,0.8688201624379362,31.5,2.423168736763679e-06
0.3,0.8418778903088483,32.0,2.4998638426550837e-06
0.3,0.8161701964531313,32.5,2.57790233773522e-06
0.3,0.7916227056312495,33.0,2.65726909685423e-06
0.3,0.7681665844168826,33.5,2.7379544039788365e-06
0.3,0.7457380463087329,34.0,2.81995262950671e-06
0.3,0.7242779095441432,34.5,2.9032612646031005e-06
0.3,0.7037312007175405,35.0,2.987880204320828e-06
0.3,0.6840467984898855,35.5,3.0738112073363206e-06
0.3,0.6651771125799195,36.0,3.1610574832629137e-06
0.3,0.6470777939403347,36.5,3.249623373621752e-06
0.3,0.62970747259649,37.0,3.339514102608294e-06
