#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B->K  mu  mu) 

0.3,2189.72658402716,0.5,2.484861788319111e-08
0.3,547.4449645832102,1.0,9.941764830060735e-08
0.3,243.50167490725724,1.5,2.268463581842206e-07
0.3,136.7310780682869,2.0,4.0244910881011597e-07
0.3,136.7310780682869,2.0,4.0244910881011597e-07
0.3,19.457373820837567,5.3,2.7945421096527683e-06
0.3,0.2185977907385851,50.0,0.0002485280599164244
0.3,0.08537696179327005,80.0,0.0006338870757288064
0.3,0.07563243906497265,85.0,0.0007162187417800181
0.3,0.06746687012212134,90.0,0.0008037975777769133
0.3,0.06055664609733245,95.0,0.0008966671118519941
