#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B->K  mu  mu) 

0.01,345750131181.0519,0.00012245513306678618,0.0
0.01,158464959998.85617,0.00018088040080399561,0.0
0.01,72627982104.90347,0.0002671812816304737,0.0
0.01,33286965782.754143,0.0003946576684726452,0.0
0.01,15256082615.07935,0.0005829550421113759,0.0
0.01,6992114515.826546,0.0008610920508355232,0.0
0.01,3204555742.1632624,0.001271932595910999,0.0
0.01,1468650115.5024219,0.0018787916192828846,0.0
0.01,673069321.4606359,0.0027751926163661227,0.0
0.01,308457264.5923772,0.0040992806114776605,0.0
0.01,141360655.36381912,0.006055111790272853,0.0
0.01,64783540.288128726,0.008944100750274077,0.0
0.01,29689712.47243286,0.013211471728657949,0.0
0.01,13606717.042347126,0.019514872440561434,0.0
0.01,6236004.543714385,0.02882572465755633,0.0
0.01,2858013.551965533,0.04257893073931596,0.0
0.01,1309863.0317099693,0.06289400750340614,0.0
0.01,600330.3121943381,0.09290172653833195,0.0
0.01,275141.8613141435,0.13722659974140763,0.0
0.01,126102.73067199229,0.2026995662865173,0.0
0.012115276586285882,284867099930.3345,0.00012245513306678618,0.0
0.012115276586285882,130560915311.0833,0.00018088040080399561,0.0
0.012115276586285882,59838943708.04942,0.0002671812816304737,0.0
0.012115276586285882,27425474508.612576,0.0003946576684726452,0.0
0.012115276586285882,12569643856.12353,0.0005829550421113759,0.0
0.012115276586285882,5760875286.418299,0.0008610920508355232,0.0
0.012115276586285882,2640266539.442243,0.001271932595910999,0.0
0.012115276586285882,1210035985.1036375,0.0018787916192828846,0.0
0.012115276586285882,554548760.5910836,0.0027751926163661227,0.0
0.012115276586285882,254141124.5358544,0.0040992806114776605,0.0
0.012115276586285882,116468503.57219726,0.006055111790272853,0.0
0.012115276586285882,53375827.90905658,0.008944100750274077,0.0
0.012115276586285882,24461660.789103296,0.013211471728657949,0.0
0.012115276586285882,11210714.743828312,0.019514872440561434,0.0
