#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B->K  mu  mu) 
0.01,1360066606475052.8,1e-06,0.0
0.01,120483783946684.92,3.359818286283781e-06,0.0
0.01,10673258302542.637,1.1288378916846883e-05,0.0
0.01,945508511742.2305,3.792690190732254e-05,0.0
0.01,83759462551.85101,0.00012742749857031334,0.0
0.01,7419974697.496357,0.0004281332398719391,0.0
0.01,657311515.2845085,0.0014384498882876629,0.0
0.01,58229110.426954634,0.004832930238571752,0.0
0.01,5158326.844511884,0.01623776739188721,0.0
0.01,456959.15506125527,0.05455594781168514,0.0
0.01,136007.1107656242,0.1,0.0
0.01,65731.28904386616,0.14384498882876628,0.0
0.01,40480.49713854927,0.18329807108324336,0.0
0.01,31767.473855370263,0.20691380811147897,0.0
0.01,15352.99863872881,0.29763514416313175,0.0
0.01,7419.997184197673,0.42813323987193935,0.0
0.01,3586.0328919269236,0.6158482110660255,0.0
0.01,3586.0328919269136,0.6158482110660264,0.0
0.01,1733.1046852957213,0.8858667904100825,0.0
0.01,837.5974058020174,1.2742749857031335,0.0
0.01,404.8049836249798,1.8329807108324356,0.0
0.01,317.67474707028026,2.06913808111479,0.0
0.01,195.63942481026842,2.636650898730358,0.0
0.01,94.55116927002537,3.79269019073225,0.0
0.01,45.69592052852519,5.455594781168517,0.0
0.01,28.14175091739654,6.951927961775605,0.0
0.01,22.08451961782417,7.847599703514611,0.0
0.01,10.673294269103986,11.288378916846883,0.0
0.01,5.158328662697153,16.23776739188721,0.0
0.01,2.492984257734498,23.357214690901213,0.0
0.01,2.492984257734498,23.357214690901213,0.0
0.01,1.2048419004464317,33.59818286283781,0.0
0.01,0.582291685369371,48.32930238571752,0.0
0.01,0.28141750940007115,69.51927961775606,0.0
0.01,0.22084519633543273,78.47599703514607,0.0
0.01,0.13600711908801688,100.0,0.0
0.01,0.019563942526602335,263.6650898730355,0.0
0.01,0.001733104697409505,885.8667904100832,0.0
0.01,0.00015352998957463598,2976.3514416313133,0.0
0.01,1.3600711909637493e-05,10000.0,0.0
0.012115276586285882,1088320353052196.0,1e-06,0.0
0.012115276586285882,96410685813834.05,3.359818286283781e-06,0.0
0.012115276586285882,8540702484446.109,1.1288378916846883e-05,0.0
0.012115276586285882,756592473683.8087,3.792690190732254e-05,0.0
0.012115276586285882,67024017903.12583,0.00012742749857031334,0.0
0.012115276586285882,5937437107.007704,0.0004281332398719391,0.0
0.012115276586285882,525978400.5264366,0.0014384498882876629,0.0
0.012115276586285882,46594742.989632,0.004832930238571752,0.0
0.012115276586285882,4127676.755317262,0.01623776739188721,0.0
0.012115276586285882,365657.2831676551,0.05455594781168514,0.0
0.012115276586285882,108832.46477587335,0.1,0.0
0.012115276586285882,52597.97217829337,0.14384498882876628,0.0
0.012115276586285882,32392.367431568247,0.18329807108324336,0.0
0.012115276586285882,25420.23342307084,0.20691380811147897,0.0
0.012115276586285882,12285.421613338767,0.29763514416313175,0.0
0.012115276586285882,5937.45860643409,0.42813323987193935,0.0
0.012115276586285882,2869.532339275408,0.6158482110660255,0.0
0.012115276586285882,2869.5323392753994,0.6158482110660264,0.0
0.012115276586285882,1386.824966468598,0.8858667904100825,0.0
0.012115276586285882,670.2428333423311,1.2742749857031335,0.0
0.012115276586285882,323.9236862287179,1.8329807108324356,0.0
0.012115276586285882,254.2023425203551,2.06913808111479,0.0
0.012115276586285882,156.55005801279728,2.636650898730358,0.0
0.012115276586285882,75.65955098801912,3.79269019073225,0.0
0.012115276586285882,36.5657332028561,5.455594781168517,0.0
0.012115276586285882,22.518941386003288,6.951927961775605,0.0
0.012115276586285882,17.671963776616572,7.847599703514611,0.0
0.012115276586285882,8.540736813600079,11.288378916846883,0.0
0.012115276586285882,4.127678521454646,16.23776739188721,0.0
0.012115276586285882,1.9948782344269007,23.357214690901213,0.0
0.012115276586285882,1.9948782344269007,23.357214690901213,0.0
0.012115276586285882,0.9641107342380495,33.59818286283781,0.0
0.012115276586285882,0.46594799211499077,48.32930238571752,0.0
0.012115276586285882,0.2251894140801588,69.51927961775606,0.0
0.012115276586285882,0.17671963791919962,78.47599703514607,0.0
0.012115276586285882,0.10883247287502906,100.0,0.0
0.012115276586285882,0.01565500584564949,263.6650898730355,0.0
0.012115276586285882,0.0013868249782615551,885.8667904100832,0.0
0.012115276586285882,0.0001228542192360459,2976.3514416313133,0.0
0.012115276586285882,1.0883247288316617e-05,10000.0,0.0
0.014677992676220698,861149992338313.0,1e-06,0.0
0.014677992676220698,76286417981421.98,3.359818286283781e-06,0.0
0.014677992676220698,6757960428823.417,1.1288378916846883e-05,0.0
0.014677992676220698,598665275183.8871,3.792690190732254e-05,0.0
0.014677992676220698,53033771686.68889,0.00012742749857031334,0.0
0.014677992676220698,4698087557.217082,0.0004281332398719391,0.0
0.014677992676220698,416188514.3472775,0.0014384498882876629,0.0
0.014677992676220698,36868819.37856949,0.004832930238571752,0.0
0.014677992676220698,3266089.399940673,0.01623776739188721,0.0
0.014677992676220698,289332.1184305346,0.05455594781168514,0.0
0.014677992676220698,86115.41324042951,0.1,0.0
0.014677992676220698,41618.979626497516,0.14384498882876628,0.0
0.014677992676220698,25630.974502566743,0.18329807108324336,0.0
0.014677992676220698,20114.162906396912,0.20691380811147897,0.0
0.014677992676220698,9721.03474605047,0.29763514416313175,0.0
0.014677992676220698,4698.108322168676,0.42813323987193935,0.0
0.014677992676220698,2270.5629924945642,0.6158482110660255,0.0
0.014677992676220698,2270.5629924945574,0.6158482110660264,0.0
0.014677992676220698,1097.3472595711276,0.8858667904100825,0.0
0.014677992676220698,530.3402770050432,1.2742749857031335,0.0
0.014677992676220698,256.30975672051835,1.8329807108324356,0.0
0.014677992676220698,201.14163720198914,2.06913808111479,0.0
0.014677992676220698,123.87271756235204,2.636650898730358,0.0
0.014677992676220698,59.866820308916616,3.79269019073225,0.0
0.014677992676220698,28.933216637588725,5.455594781168517,0.0
