#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(KL->pi0  a) 

0.0,0.0,1e-07,4.992678188499763e-24
0.0,0.0,3.792690190732254e-07,7.181717382503128e-23
0.0,0.0,1.438449888287663e-06,1.033054056657453e-21
0.0,0.0,5.455594781168514e-06,1.4859964923937508e-20
0.0,0.0,2.06913808111479e-05,2.137531488481088e-19
0.0,0.0,7.847599703514623e-05,3.0747319308182773e-18
0.0,0.0,0.00029763514416313193,4.4228478024928584e-17
0.0,0.0,0.0011288378916846883,6.362044929258775e-16
0.0,0.0,0.004281332398719396,9.151482856060102e-15
0.0,0.0,0.01623776739188724,1.316395027995607e-13
0.0,0.0,0.06158482110660267,1.893569880650619e-12
0.0,0.0,0.1,4.992689992779301e-12
0.0,0.0,0.14384498882876628,1.033059039738235e-11
0.0,0.0,0.20691380811147897,2.1375524556477058e-11
0.0,0.0,0.23357214690901212,2.7238367375612837e-11
0.0,0.0,0.29763514416313175,4.422935852962473e-11
0.0,0.0,0.42813323987193935,9.15185337771618e-11
0.0,0.0,0.6158482110660264,1.8937259245792552e-10
0.0,0.0,0.8858667904100825,3.918745843262253e-10
0.0,0.0,0.8858667904100832,3.918745843261976e-10
0.0,0.0,1.2742749857031335,8.110214883888166e-10
0.0,0.0,1.8329807108324356,1.6921393262677222e-09
0.0,0.0,2.636650898730358,3.491018836664639e-09
0.0,0.0,3.359818286283788,5.65621671599843e-09
0.0,0.0,3.79269019073225,7.199843794241041e-09
0.0,0.0,5.455594781168517,1.4859654929530134e-08
0.0,0.0,7.847599703514611,3.074889438358501e-08
0.0,0.0,11.288378916846883,6.343160785425744e-08
0.0,0.0,12.742749857031322,8.079487587763312e-08
0.0,0.0,16.23776739188721,1.3127494932386645e-07
0.0,0.0,23.357214690901213,2.713094394949496e-07
0.0,0.0,33.59818286283781,5.629982459925827e-07
0.0,0.0,48.32930238571752,1.164398503358227e-06
0.0,0.0,48.32930238571752,1.164398503358227e-06
0.0,0.0,69.51927961775606,2.4030973452700433e-06
0.0,0.0,100.0,4.97284845566874e-06
0.0,0.0,183.29807108324374,1.6715840955871558e-05
0.0,0.0,695.192796177562,0.0002403247104713735
0.0,0.0,2636.6508987303664,0.0034558241529286248
0.0,0.0,10000.0,0.04978611808435641
0.049753,1.2433119712793704e+19,1e-07,8.688156414479069e-23
0.049753,8.643415258347383e+17,3.792690190732254e-07,1.2497477623832107e-21
0.049753,6.0088400219743224e+16,1.438449888287663e-06,1.7976995291877706e-20
0.049753,4177302296659975.5,5.455594781168514e-06,2.585900686934447e-19
0.049753,290403046409403.6,2.06913808111479e-05,3.71968855424635e-18
0.049753,20188610585188.875,7.847599703514623e-05,5.350585585322812e-17
0.049753,1403497664371.0195,0.00029763514416313193,7.696549237642661e-16
0.049753,97570146577.55086,0.0011288378916846883,1.1071100394306199e-14
0.049753,6783006307.533791,0.004281332398719396,1.5925223192037026e-13
0.049753,471549717.36577576,0.01623776739188724,2.290763689278575e-12
0.049753,32781801.736064333,0.06158482110660267,3.295151556680354e-11
0.049753,12433125.072776679,0.1,8.688176956044764e-11
0.049753,6008845.266829426,0.14384498882876628,1.797708200642975e-10
0.049753,2904035.563258452,0.20691380811147897,3.7197250408806284e-10
0.049753,2278971.904870085,0.23357214690901212,4.739964950664663e-10
0.049753,1403502.58956831,0.29763514416313175,7.696702461268037e-10
0.049753,678305.3657303263,0.42813323987193935,1.592586796624065e-09
0.049753,327822.52260116447,0.6158482110660264,3.295423101131716e-09
0.049753,158436.58918616874,0.8858667904100825,6.819321324029248e-09
0.049753,158436.58918616848,0.8858667904100832,6.8193213240287626e-09
0.049753,76573.66581982523,1.2742749857031335,1.4113229975158839e-08
0.049753,36979.286157895345,1.8329807108324356,2.9446262279770217e-08
0.049753,17866.619883292275,2.636650898730358,6.074999540066307e-08
0.049753,11000.743069367547,3.359818286283788,9.84283258151515e-08
0.049753,8632.029005109942,3.79269019073225,1.2529020834603225e-07
0.049753,4170.741551265921,5.455594781168517,2.5858467423420423e-07
0.049753,2015.683237324637,7.847599703514611,5.350859676721106e-07
0.049753,973.8446586661571,11.288378916846883,1.1038238593649225e-06
0.049753,764.1980689353579,12.742749857031322,1.4059758963239496e-06
0.049753,470.6546722943518,16.23776739188721,2.2844198042960236e-06
0.049753,227.43521262603844,23.357214690901213,4.721271345880737e-06
0.049753,109.94748364748811,33.59818286283781,9.797180265950072e-06
0.049753,53.137704314265264,48.32930238571752,2.0262624475304875e-05
0.049753,53.137704314265264,48.32930238571752,2.0262624475304875e-05
0.049753,25.67551511121855,69.51927961775606,4.181820823744956e-05
0.049753,12.40951077854814,100.0,8.653649119198135e-05
0.049753,3.693960545594788,183.29807108324374,0.00029088564361847487
0.049753,0.256821883877182,695.192796177562,0.004182081432064221
0.049753,0.017847429693174176,2636.6508987303664,0.060137544716457256
0.049753,0.001240904566037992,10000.0,0.8663678387743019
0.099955,1.5333448273774807e+18,1e-07,9.160461012849604e-22
0.099955,1.0659702780489475e+17,3.792690190732254e-07,1.3176864120595892e-20
0.099955,7410548582390213.0,1.438449888287663e-06,1.8954258722251662e-19
0.099955,515175999020152.4,5.455594781168514e-06,2.726475134159324e-18
0.099955,35814664328239.31,2.06913808111479e-05,3.9218978521532094e-17
0.099955,2489809663851.6025,7.847599703514623e-05,5.641453527307784e-16
0.099955,173089774216.9425,0.00029763514416313193,8.114948196306184e-15
0.099955,12033076413.412416,0.0011288378916846883,1.1672946329830388e-13
0.099955,836530804.4950337,0.004281332398719396,1.6790948414380084e-12
0.099955,58155019.55078274,0.01623776739188724,2.4152939316696352e-11
0.099955,4042895.691979774,0.06158482110660267,3.474282221265802e-10
0.099955,1533345.4884598425,0.1,9.16048267109362e-10
