#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(KL->pi0  a) 

0.0,0.0,1e-07,4.906572383798481e-19
0.0,0.0,3.792690190732254e-07,7.057858497385995e-18
0.0,0.0,1.438449888287663e-06,1.0152375768085814e-16
0.0,0.0,5.455594781168514e-06,1.4603683809103952e-15
0.0,0.0,2.06913808111479e-05,2.1006667738814172e-14
0.0,0.0,7.847599703514623e-05,3.0217046171880736e-13
0.0,0.0,0.00029763514416313193,4.34658102589961e-12
0.0,0.0,0.0011288378916846883,6.252414291301696e-11
0.0,0.0,0.004281332398719396,8.993975821532256e-10
0.0,0.0,0.01623776739188724,1.2937562058021582e-08
0.0,0.0,0.06158482110660267,1.861012753151436e-07
0.0,0.0,0.1,4.906844604181922e-07
0.0,0.0,0.14384498882876628,1.015294278210346e-06
0.0,0.0,0.20691380811147897,2.1007845991254032e-06
0.0,0.0,0.23357214690901212,2.6769774464382346e-06
0.0,0.0,0.29763514416313175,4.346814202235161e-06
0.0,0.0,0.42813323987193935,8.994159935547267e-06
0.0,0.0,0.6158482110660264,1.8610160472189566e-05
0.0,0.0,0.8858667904100825,3.8506994095246076e-05
0.0,0.0,0.8858667904100832,3.850699409537059e-05
0.0,0.0,1.2742749857031335,7.967629128063984e-05
0.0,0.0,1.8329807108324356,0.00016486125335973332
0.0,0.0,2.636650898730358,0.0003411207044928577
0.0,0.0,3.359818286283788,0.0005539038708426274
0.0,0.0,3.79269019073225,0.0007058258500906197
0.0,0.0,5.455594781168517,0.0014604511596847751
0.0,0.0,7.847599703514611,0.0030218751311662955
0.0,0.0,11.288378916846883,0.006252676940535956
0.0,0.0,12.742749857031322,0.007967629829074032
0.0,0.0,16.23776739188721,0.01293765201019119
0.0,0.0,23.357214690901213,0.02676978851711021
0.0,0.0,33.59818286283781,0.05539038893427436
0.0,0.0,48.32930238571752,0.11461036320170345
0.0,0.0,48.32930238571752,0.11461036320170345
0.0,0.0,69.51927961775606,0.23714466717772223
0.0,0.0,100.0,0.4906850618567948
0.0,0.0,183.29807108324374,1.6486126445669833
0.0,0.0,695.192796177562,23.714466756157027
0.0,0.0,2636.6508987303664,341.1207206051783
0.0,0.0,10000.0,4906.850624637188
0.049753,2.6705297714471748e+16,1e-07,8.538316855189527e-18
0.049753,1856533059086866.8,3.792690190732254e-07,1.2281940926574235e-16
0.049753,129064840853357.14,1.438449888287663e-06,1.7666956555475747e-15
0.049753,8972494759200.623,5.455594781168514e-06,2.5413031717795578e-14
0.049753,623761371155.7351,2.06913808111479e-05,3.6555373322920024e-13
0.049753,43363440390.773056,7.847599703514623e-05,5.2583085392836635e-12
0.049753,3014594599.329204,0.00029763514416313193,7.563831353722853e-11
0.049753,209572255.32049516,0.0011288378916846883,1.0880323401592303e-09
0.049753,14569288.910446,0.004281332398719396,1.5651132673743497e-08
0.049753,1012845.4166548814,0.01623776739188724,2.2513680741737752e-07
0.049753,70412.25726474245,0.06158482110660267,3.238496309648693e-06
0.049753,26705.186244230696,0.1,8.538790567530128e-06
0.049753,12906.429853118389,0.14384498882876628,1.7667943261665992e-05
0.049753,6237.58738908415,0.20691380811147897,3.655742369370435e-05
0.049753,4895.008869524366,0.23357214690901212,4.658421371171308e-05
0.049753,3014.582429666787,0.29763514416313175,7.564237122410304e-05
0.049753,1456.9266442081407,0.42813323987193935,0.0001565145306518475
0.049753,704.1224787364051,0.6158482110660264,0.0003238502041917584
0.049753,340.2974803384245,0.8858667904100825,0.0006700908312527337
0.049753,340.2974803384238,0.8858667904100832,0.0006700908312549006
0.049753,164.46339775352152,1.2742749857031335,0.0013865105160719429
0.049753,79.48401263580939,1.8329807108324356,0.0028688817940954185
0.049753,38.41406875511144,2.636650898730358,0.005936112693339443
0.049753,23.65723550446992,3.359818286283788,0.009638921810644935
0.049753,18.565251427163048,3.79269019073225,0.0122826370045145
0.049753,8.972456494129384,5.455594781168517,0.02541447221708766
0.049753,4.336325628198717,7.847599703514611,0.052586052642191995
0.049753,2.095715924516686,11.288378916846883,0.10880780458414965
0.049753,1.6446339666325223,12.742749857031322,0.1386510638060277
0.049753,1.0128448860482926,16.23776739188721,0.22513837274662551
0.049753,0.48950086759020217,23.357214690901213,0.46584238165982544
0.049753,0.23657235444936636,33.59818286283781,0.9638922132580169
0.049753,0.11433376853309597,48.32930238571752,1.9944260868050605
0.049753,0.11433376853309597,48.32930238571752,1.9944260868050605
0.049753,0.05525671272007092,69.51927961775606,4.126742969425677
0.049753,0.02670518377778972,100.0,8.538801033641615
0.049753,0.00794840122326576,183.29807108324374,28.688819872025327
0.049753,0.0005525671271334658,695.192796177562,412.67429761053216
0.049753,3.841406861838885e-05,2636.6508987303664,5936.112973722748
0.049753,2.6705183775304723e-06,10000.0,85388.0104420318
0.099955,1.2806407795970238e+16,1e-07,9.002475892005446e-17
0.099955,890292244466720.1,3.792690190732254e-07,1.294961044123318e-15
0.099955,61892475484258.266,1.438449888287663e-06,1.8627365694341825e-14
0.099955,4302720309083.9146,5.455594781168514e-06,2.679453213816649e-13
0.099955,299122015952.98517,2.06913808111479e-05,3.854259248564063e-12
0.099955,20794746770.280598,7.847599703514623e-05,5.5441601266947577e-11
0.099955,1445635611.3507857,0.00029763514416313193,7.975015517455099e-10
0.099955,100499474.01710653,0.0011288378916846883,1.147179833933244e-08
0.099955,6986642.08727641,0.004281332398719396,1.6501957817636767e-07
0.099955,485705.91905451496,0.01623776739188724,2.3737566964924087e-06
0.099955,33765.915387416775,0.06158482110660267,3.4145470879592716e-05
0.099955,12806.365028461909,0.1,9.002975356243928e-05
0.099955,6189.226740464721,0.14384498882876628,0.00018628406039744884
0.099955,2991.2100597152466,0.20691380811147897,0.0003854475431845482
0.099955,2347.3819081287656,0.23357214690901212,0.0004911661958677892
0.099955,1445.6309388587702,0.29763514416313175,0.0007975443344495073
0.099955,698.6633424605312,0.42813323987193935,0.0016502295626162123
0.099955,337.6591176291492,0.6158482110660264,0.003414553131845129
0.099955,163.18829538367493,0.8858667904100825,0.007065182349305917
0.099955,163.18829538367464,0.8858667904100832,0.007065182349328763
0.099955,78.8677645294234,1.2742749857031335,0.014618838474427437
0.099955,38.11624033545465,1.8329807108324356,0.030248396289790827
0.099955,18.421313026648935,2.636650898730358,0.06258810995229766
0.099955,11.344732665950085,3.359818286283788,0.10162911812357468
0.099955,8.90289206829036,3.79269019073225,0.12950344359285473
0.099955,4.302705626143859,5.455594781168517,0.26796050945721817
0.099955,2.0794676119478512,7.847599703514611,0.5544472982158432
0.099955,1.0049921898961243,11.288378916846883,1.1472280242627557
0.099955,0.7886776410860106,12.742749857031322,1.4618839760625946
0.099955,0.48570571430853954,16.23776739188721,2.373773200727443
0.099955,0.23473818333955293,23.357214690901213,4.911664537042868
0.099955,0.11344732642971411,33.59818286283781,10.162912151793707
0.099955,0.05482830143496526,48.32930238571752,21.028468572159554
0.099955,0.05482830143496526,48.32930238571752,21.028468572159554
0.099955,0.026498135592192835,69.51927961775606,43.51080514443262
0.099955,0.012806364076503504,100.0,90.0298639131301
0.099955,0.00381162401798458,183.29807108324374,302.4839832583865
0.099955,0.00026498135589597324,695.192796177562,4351.080521486025
0.099955,1.8421312973876547e-05,2636.6508987303664,62588.11290855237
0.099955,1.2806364075544346e-06,10000.0,900298.6402448723
0.13488999999999998,7705677827714688.0,1e-07,2.668336651058306e-16
0.13488999999999998,535693171548936.56,3.792690190732254e-07,3.838268557648131e-15
0.13488999999999998,37241003381930.49,1.438449888287663e-06,5.521156978494953e-14
0.13488999999999998,2588967727052.952,5.455594781168514e-06,7.941907649619071e-13
0.13488999999999998,179983171045.7964,2.06913808111479e-05,1.1424036386208978e-11
0.13488999999999998,12512300131.757023,7.847599703514623e-05,1.6432907838756954e-10
0.13488999999999998,869845909.4161485,0.00029763514416313193,2.363797076855453e-09
0.13488999999999998,60470995.404159576,0.0011288378916846883,3.4002445915544183e-08
0.13488999999999998,4203891.774491618,0.004281332398719396,4.891185423570106e-07
0.13488999999999998,292251.14950056095,0.01623776739188724,7.0358222226072345e-06
0.13488999999999998,20317.07983622676,0.06158482110660267,0.00010120728176186735
0.13488999999999998,7705.638398747549,0.1,0.00026684846924137533
0.13488999999999998,3724.0811526916946,0.14384498882876628,0.0005521465337195607
0.13488999999999998,1799.8223973896172,0.20691380811147897,0.0011424677154126689
0.13488999999999998,1412.4285621879737,0.23357214690901212,0.0014558181303865154
0.13488999999999998,869.8415939733153,0.29763514416313175,0.0023639238849230077
0.13488999999999998,420.3883692121267,0.42813323987193935,0.004891285550121963
0.13488999999999998,203.1707644607163,0.6158482110660264,0.010120746090283194
0.13488999999999998,98.19101254656638,0.8858667904100825,0.02094122243171434
0.13488999999999998,98.19101254656623,0.8858667904100832,0.020941222431782057
0.13488999999999998,47.45503117777644,1.2742749857031335,0.043330282652416376
0.13488999999999998,22.934685450756643,1.8329807108324356,0.08965634057122127
0.13488999999999998,11.08417346106186,2.636650898730358,0.1855113523319635
0.13488999999999998,6.826168390592771,3.359818286283788,0.3012290218346348
0.13488999999999998,5.3569037016771945,3.79269019073225,0.3838486091186827
0.13488999999999998,2.588954186049567,5.455594781168517,0.7942357824650295
0.13488999999999998,1.251223496381753,7.847599703514611,1.6433835143323186
0.13488999999999998,0.6047075868113087,11.288378916846883,3.4003874278407977
0.13488999999999998,0.4745503078409086,12.742749857031322,4.333028646471275
0.13488999999999998,0.2922509580866047,16.23776739188721,7.035871141211148
0.13488999999999998,0.14124284922765062,23.357214690901213,14.558188946146954
0.13488999999999998,0.06826168369095845,33.59818286283781,30.122903189553554
0.13488999999999998,0.0329903955210645,48.32930238571752,62.32844617395741
0.13488999999999998,0.0329903955210645,48.32930238571752,62.32844617395741
0.13488999999999998,0.015944028008436802,69.51927961775606,128.96616161677093
0.13488999999999998,0.007705637508263481,100.0,266.8487963211657
0.13488999999999998,0.0022934685305181775,183.29807108324374,896.5634660607333
0.13488999999999998,0.00015944028006008618,695.192796177562,12896.616182551865
0.13488999999999998,1.1084173411692232e-05,2636.6508987303664,185511.3610943116
0.13488999999999998,7.705637507366177e-07,10000.0,2668487.9665122856
0.14989,8936173999451650.0,1e-07,3.9048119972762913e-16
0.14989,621236378980511.8,3.792690190732254e-07,5.616876381294848e-15
0.14989,43187905538781.34,1.438449888287663e-06,8.079595203971779e-14
0.14989,3002392080970.4634,5.455594781168514e-06,1.16220928341981e-12
0.14989,208724134322.36734,2.06913808111479e-05,1.6717798453391236e-11
0.14989,14510351209.411743,7.847599703514623e-05,2.4047721134986447e-10
0.14989,1008748993.4771845,0.00029763514416313193,3.4591524203555644e-09
0.14989,70127443.68268372,0.0011288378916846883,4.975877338981765e-08
0.14989,4875202.038768799,0.004281332398719396,7.157702351869443e-07
0.14989,338920.2028859241,0.01623776739188724,1.0296138238270426e-05
0.14989,23561.480038428515,0.06158482110660267,0.00014810552779339917
0.14989,8936.138951097873,0.1,0.0003905028639228353
0.14989,4318.7735023434725,0.14384498882876628,0.0008080046452412754
0.14989,2087.23306703051,0.20691380811147897,0.0016718736145511742
0.14989,1637.9769519466795,0.23357214690901212,0.002130426870661527
0.14989,1008.7451675246449,0.29763514416313175,0.003459337989767635
0.14989,487.5194979502507,0.42813323987193935,0.007157848875869996
0.14989,235.61477088322988,0.6158482110660264,0.014810578994614793
