#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(K+->pi+  a) ,  BR_Na62(K+->pi+  a) ,  Allowed/excluded  (1/0) 

0.0,0.0,1e-07,1.9096539174184363e-19,2.02e-10,1
0.0,0.0,3.792690190732254e-07,2.746941464198024e-18,2.02e-10,1
0.0,0.0,1.438449888287663e-06,3.9513376427590483e-17,2.02e-10,1
0.0,0.0,5.455594781168514e-06,5.683801199708236e-16,2.02e-10,1
0.0,0.0,2.06913808111479e-05,8.175863381583905e-15,2.02e-10,1
0.0,0.0,7.847599703514623e-05,1.1760573757851663e-13,2.02e-10,1
0.0,0.0,0.00029763514416313193,1.691718079101429e-12,2.02e-10,1
0.0,0.0,0.0011288378916846883,2.4343258762684087e-11,2.02e-10,1
0.0,0.0,0.004281332398719396,3.5093083465288756e-10,2.02e-10,0
0.0,0.0,0.01623776739188724,5.060928324448977e-09,2.02e-10,0
0.0,0.0,0.06158482110660267,7.28835501278847e-08,2.02e-10,0
0.0,0.0,0.1,1.9220397455609235e-07,2.02e-10,0
0.0,0.0,0.14384498882876628,3.977334453337481e-07,2.02e-10,0
0.0,0.0,0.20000000000000004,7.689335367428788e-07,2.02e-10,0
0.0,0.0,0.20691380811147897,8.230192877566713e-07,2.02e-10,0
0.0,0.0,0.23357214690901212,1.0487709021619361e-06,2.02e-10,0
0.0,0.0,0.23462576957740608,1.0582546973169445e-06,2.02e-10,0
0.0,0.0,0.2752462587489502,1.456431855653831e-06,2.02e-10,0
0.0,0.0,0.29763514416313175,1.7030188689584232e-06,2.02e-10,0
0.0,0.0,0.3228993264113713,2.0044207936572977e-06,2.02e-10,0
0.0,0.0,0.3788025147764701,2.7585862696214403e-06,2.02e-10,0
0.0,0.0,0.42813323987193935,3.523894692310725e-06,2.02e-10,0
0.0,0.0,0.4443841577364301,3.796499379821973e-06,2.02e-10,0
0.0,0.0,0.5213198749845864,5.224916072838961e-06,2.02e-10,0
0.0,0.0,0.6115753843212784,7.190757435159175e-06,2.02e-10,0
0.0,0.0,0.6158482110660264,7.291588808623411e-06,2.02e-10,0
0.0,0.0,0.7174567260048892,9.896221109190901e-06,2.02e-10,0
0.0,0.0,0.8416691823869162,1.3619578106063757e-05,2.02e-10,0
0.0,0.0,0.8858667904100825,1.5087540986277448e-05,2.02e-10,0
0.0,0.0,0.8858667904100832,1.5087540986246245e-05,2.02e-10,0
0.0,0.0,0.9873863982355817,1.874379403728112e-05,2.02e-10,0
0.0,0.0,1.1583314677814325,2.5795918558085093e-05,2.02e-10,0
0.0,0.0,1.2742749857031335,3.121854724301249e-05,2.02e-10,0
0.0,0.0,1.358872060269724,3.550129436254603e-05,2.02e-10,0
0.0,0.0,1.5941320144900963,4.8858161310425255e-05,2.02e-10,0
0.0,0.0,1.8329807108324356,6.459597722326532e-05,2.02e-10,0
0.0,0.0,1.8701222535385973,6.724032897537e-05,2.02e-10,0
0.0,0.0,2.193894364701632,9.25384778349029e-05,2.02e-10,0
0.0,0.0,2.5737207684482724,0.00012735462241056695,2.02e-10,0
0.0,0.0,2.636650898730358,0.00013365870534578586,2.02e-10,0
0.0,0.0,3.019306079872643,0.00017526973754564492,2.02e-10,0
0.0,0.0,3.359818286283788,0.0002170324623027013,2.02e-10,0
0.0,0.0,3.5420350628993003,0.00024121207409068357,2.02e-10,0
0.0,0.0,3.79269019073225,0.0002765593378008052,2.02e-10,0
0.0,0.0,4.155263512514519,0.00033196404652148,2.02e-10,0
0.0,0.0,4.874659497103173,0.00045685982754275806,2.02e-10,0
0.0,0.0,5.455594781168517,0.0005722409266187666,2.02e-10,0
0.0,0.0,5.718603679678214,0.0006287453997012051,2.02e-10,0
0.0,0.0,6.708658946263436,0.000865299808456683,2.02e-10,0
0.0,0.0,7.847599703514611,0.0011840476069083854,2.02e-10,0
0.0,0.0,7.870121340497041,0.0011908535121228057,2.02e-10,0
0.0,0.0,9.232666380908421,0.001638890851973338,2.02e-10,0
0.0,0.0,10.831107274360415,0.002255494030045214,2.02e-10,0
0.0,0.0,11.288378916846883,0.00244996103514756,2.02e-10,0
0.0,0.0,12.706284398111263,0.0031040828191587692,2.02e-10,0
0.0,0.0,12.742749857031322,0.0031219250721786153,2.02e-10,0
0.0,0.0,14.906108776881215,0.00427193750049839,2.02e-10,0
0.0,0.0,16.23776739188721,0.005069312051444573,2.02e-10,0
0.0,0.0,17.486786215901404,0.005879175934272731,2.02e-10,0
0.0,0.0,20.51425336670721,0.008091108085656863,2.02e-10,0
0.0,0.0,23.357214690901213,0.010489112906823011,2.02e-10,0
0.0,0.0,24.065862417347876,0.011135238710191727,2.02e-10,0
0.0,0.0,28.232357451071085,0.015324666981555633,2.02e-10,0
0.0,0.0,33.12019296970983,0.02109028979190837,2.02e-10,0
0.0,0.0,33.59818286283781,0.021703432010087682,2.02e-10,0
0.0,0.0,38.85425382035179,0.029025120941931843,2.02e-10,0
0.0,0.0,45.58104601977953,0.039945284597694516,2.02e-10,0
0.0,0.0,48.32930238571752,0.04490741069249689,2.02e-10,0
0.0,0.0,48.32930238571752,0.04490741069249689,2.02e-10,0
0.0,0.0,53.47244000266971,0.05497395639321792,2.02e-10,0
0.0,0.0,62.730061934040236,0.075656885807452,2.02e-10,0
0.0,0.0,69.51927961775606,0.09291965233160907,2.02e-10,0
0.0,0.0,73.59044528456265,0.10412138167017147,2.02e-10,0
0.0,0.0,86.3310742921725,0.14329511299371153,2.02e-10,0
0.0,0.0,100.0,0.1922636180845535,2.02e-10,0
0.0,0.0,101.277473721226,0.19720722952483696,2.02e-10,0
0.0,0.0,118.8115260634908,0.2714027732751171,2.02e-10,0
0.0,0.0,139.3812286865628,0.3735130046285647,2.02e-10,0
0.0,0.0,163.51214022614604,0.514040302999351,2.02e-10,0
0.0,0.0,183.29807108324374,0.6459709137216098,2.02e-10,0
0.0,0.0,191.8208086790412,0.707438371658029,2.02e-10,0
0.0,0.0,225.0305242864022,0.97359884943077,2.02e-10,0
0.0,0.0,263.9897996955213,1.3398972322456701,2.02e-10,0
0.0,0.0,309.6940495707347,1.8440085343860368,2.02e-10,0
0.0,0.0,363.3110235703847,2.5377822896342757,2.02e-10,0
0.0,0.0,426.21064250578297,3.4925754490937044,2.02e-10,0
0.0,0.0,499.99999999999994,4.806591682041447,2.02e-10,0
0.0,0.0,695.192796177562,9.291969080760232,2.02e-10,0
0.0,0.0,2636.6508987303664,133.66032339045688,2.02e-10,0
0.0,0.0,10000.0,1922.636789669341,2.02e-10,0
0.01,5.1846134785993e+17,1e-07,1.9086542588668019e-19,9.56e-10,1
0.01,3.6043059412847304e+16,3.792690190732254e-07,2.745503505466089e-18,9.56e-10,1
0.01,2505687525575408.0,1.438449888287663e-06,3.9492692111814975e-17,9.56e-10,1
0.01,174193591699725.75,5.455594781168514e-06,5.680825864531923e-16,9.56e-10,1
0.01,12109812984110.053,2.06913808111479e-05,8.171583510937266e-15,9.56e-10,1
0.01,841865448175.6686,7.847599703514623e-05,1.175441737630947e-13,9.56e-10,1
0.01,58525817119.56964,0.00029763514416313193,1.6908325047943235e-12,9.56e-10,1
