#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(K+->pi+  a) 

0.0,0.0,1e-07,4.786480333346468e-25
0.0,0.0,3.792690190732254e-07,6.885112100788893e-24
0.0,0.0,1.438449888287663e-06,9.903888732231418e-23
0.0,0.0,5.455594781168514e-06,1.4246247640484905e-21
0.0,0.0,2.06913808111479e-05,2.0492513326961755e-20
0.0,0.0,7.847599703514623e-05,2.9477453505851065e-19
0.0,0.0,0.00029763514416313193,4.2401839701613826e-18
0.0,0.0,0.001,4.7864803321437127e-17
0.0,0.0,0.0011288378916846883,6.09929215638264e-17
0.0,0.0,0.0012067926406393288,6.970783343507601e-17
0.0,0.0,0.0014563484775012444,1.015188970762181e-16
0.0,0.0,0.0017575106248547913,1.478468911589872e-16
0.0,0.0,0.0021209508879201904,2.1531659476680427e-16
0.0,0.0,0.002559547922699536,3.1357599480851973e-16
0.0,0.0,0.0030888435964774815,4.56675922280478e-16
0.0,0.0,0.003727593720314938,6.65079283403954e-16
0.0,0.0,0.004281332398719396,8.773526083754615e-16
0.0,0.0,0.004498432668969444,9.685872002789595e-16
0.0,0.0,0.005428675439323859,1.4106004912316507e-15
0.0,0.0,0.006551285568595509,2.0543258709597664e-15
0.0,0.0,0.0079060432109077,2.991814340097101e-15
0.0,0.0,0.009540954763499945,4.357124228894702e-15
0.0,0.0,0.01151395399326447,6.34549117341711e-15
0.0,0.0,0.013894954943731374,9.24124627620554e-15
0.0,0.0,0.01623776739188724,1.262027687272368e-14
0.0,0.0,0.016768329368110076,1.3458474666973351e-14
0.0,0.0,0.020235896477251564,1.9600228516516308e-14
0.0,0.0,0.02442053094548651,2.85447617832667e-14
0.0,0.0,0.029470517025518096,4.157111799584816e-14
0.0,0.0,0.03556480306223128,6.05420297497182e-14
0.0,0.0,0.04291934260128776,8.817028408359471e-14
0.0,0.0,0.0517947467923121,1.2840664364889473e-13
0.0,0.0,0.06158482110660267,1.815362604312137e-13
0.0,0.0,0.0625055192527397,1.8700479710409097e-13
0.0,0.0,0.07543120063354615,2.7234413156074535e-13
0.0,0.0,0.09102981779915217,3.966280028308438e-13
0.0,0.0,0.1,4.786478507880724e-13
0.0,0.0,0.10985411419875583,5.776289205903402e-13
0.0,0.0,0.13257113655901082,8.412304092096781e-13
0.0,0.0,0.14384498882876628,9.903918759535638e-13
0.0,0.0,0.15998587196060574,1.2251296149924259e-12
0.0,0.0,0.19306977288832497,1.784231772889566e-12
0.0,0.0,0.20691380811147897,2.049292789081523e-12
0.0,0.0,0.2329951810515372,2.5985123393442963e-12
0.0,0.0,0.23357214690901212,2.6113985735327488e-12
0.0,0.0,0.2811768697974228,3.78448229626987e-12
0.0,0.0,0.29763514416313175,4.240560027345832e-12
0.0,0.0,0.3393221771895326,5.511923264228513e-12
0.0,0.0,0.4094915062380423,8.028347357998977e-12
0.0,0.0,0.42813323987193935,8.776342236276136e-12
0.0,0.0,0.49417133613238334,1.169481320838865e-11
0.0,0.0,0.5963623316594643,1.703849698901031e-11
0.0,0.0,0.6158482110660264,1.8171779096077177e-11
0.0,0.0,0.7196856730011514,2.4830094081119017e-11
0.0,0.0,0.868511373751352,3.6198211131904647e-11
0.0,0.0,0.8858667904100825,3.766445443686025e-11
0.0,0.0,0.8858667904100832,3.766445443684132e-11
0.0,0.0,1.0481131341546852,5.2799142423623636e-11
0.0,0.0,1.2648552168552958,7.70698340158099e-11
0.0,0.0,1.2742749857031335,7.823051122447182e-11
0.0,0.0,1.5264179671752318,1.1187471075804407e-10
0.0,0.0,1.8329807108324356,1.6311364116207172e-10
0.0,0.0,1.8420699693267144,1.6465545714708306e-10
0.0,0.0,2.2229964825261934,2.3745198478984065e-10
0.0,0.0,2.636650898730358,3.3372904118024783e-10
0.0,0.0,2.6826957952797246,3.45542173427774e-10
0.0,0.0,3.2374575428176433,5.03842528873017e-10
0.0,0.0,3.359818286283788,5.443276534389527e-10
0.0,0.0,3.79269019073225,6.879894679483815e-10
0.0,0.0,3.906939937054613,7.306205480944716e-10
0.0,0.0,4.714866363457389,1.0658505834110938e-09
0.0,0.0,5.455594781168517,1.431194117350133e-09
0.0,0.0,5.689866029018293,1.5612203383041683e-09
0.0,0.0,6.866488450042998,2.2619044997357224e-09
0.0,0.0,7.847599703514611,2.95995393831678e-09
0.0,0.0,8.286427728546842,3.2961064301863246e-09
