#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(K+->pi+  a) ,  BR_Na62(K+->pi+  a) ,  Allowed/excluded  (1/0) 

0.0,0.0,1e-07,4.992678188499763e-24,2.02e-10,1
0.0,0.0,3.792690190732254e-07,7.181717382503128e-23,2.02e-10,1
0.0,0.0,1.438449888287663e-06,1.033054056657453e-21,2.02e-10,1
0.0,0.0,5.455594781168514e-06,1.4859964923937508e-20,2.02e-10,1
0.0,0.0,2.06913808111479e-05,2.137531488481088e-19,2.02e-10,1
0.0,0.0,7.847599703514623e-05,3.0747319308182773e-18,2.02e-10,1
0.0,0.0,0.00029763514416313193,4.4228478024928584e-17,2.02e-10,1
0.0,0.0,0.0011288378916846883,6.362044929258775e-16,2.02e-10,1
0.0,0.0,0.004281332398719396,9.151482856060102e-15,2.02e-10,1
0.0,0.0,0.01623776739188724,1.316395027995607e-13,2.02e-10,1
0.0,0.0,0.06158482110660267,1.893569880650619e-12,2.02e-10,1
0.0,0.0,0.1,4.992689992779301e-12,2.02e-10,1
0.0,0.0,0.14384498882876628,1.033059039738235e-11,2.02e-10,1
0.0,0.0,0.20691380811147897,2.1375524556477058e-11,2.02e-10,1
0.0,0.0,0.23357214690901212,2.7238367375612837e-11,2.02e-10,1
0.0,0.0,0.29763514416313175,4.422935852962473e-11,2.02e-10,1
0.0,0.0,0.42813323987193935,9.15185337771618e-11,2.02e-10,1
0.0,0.0,0.6158482110660264,1.8937259245792552e-10,2.02e-10,1
0.0,0.0,0.8858667904100825,3.918745843262253e-10,2.02e-10,0
0.0,0.0,0.8858667904100832,3.918745843261976e-10,2.02e-10,0
0.0,0.0,1.2742749857031335,8.110214883888166e-10,2.02e-10,0
0.0,0.0,1.8329807108324356,1.6921393262677222e-09,2.02e-10,0
0.0,0.0,2.636650898730358,3.491018836664639e-09,2.02e-10,0
0.0,0.0,3.359818286283788,5.65621671599843e-09,2.02e-10,0
0.0,0.0,3.79269019073225,7.199843794241041e-09,2.02e-10,0
0.0,0.0,5.455594781168517,1.4859654929530134e-08,2.02e-10,0
0.0,0.0,7.847599703514611,3.074889438358501e-08,2.02e-10,0
0.0,0.0,11.288378916846883,6.343160785425744e-08,2.02e-10,0
0.0,0.0,12.742749857031322,8.079487587763312e-08,2.02e-10,0
0.0,0.0,16.23776739188721,1.3127494932386645e-07,2.02e-10,0
0.0,0.0,23.357214690901213,2.713094394949496e-07,2.02e-10,0
0.0,0.0,33.59818286283781,5.629982459925827e-07,2.02e-10,0
0.0,0.0,48.32930238571752,1.164398503358227e-06,2.02e-10,0
0.0,0.0,48.32930238571752,1.164398503358227e-06,2.02e-10,0
0.0,0.0,69.51927961775606,2.4030973452700433e-06,2.02e-10,0
0.0,0.0,100.0,4.97284845566874e-06,2.02e-10,0
0.0,0.0,183.29807108324374,1.6715840955871558e-05,2.02e-10,0
0.0,0.0,695.192796177562,0.0002403247104713735,2.02e-10,0
0.0,0.0,2636.6508987303664,0.0034558241529286248,2.02e-10,0
0.0,0.0,10000.0,0.04978611808435641,2.02e-10,0
0.01,1.5295529552005738e+21,1e-07,6.362917704718278e-24,9.56e-10,1
0.01,1.0633341958275357e+20,3.792690190732254e-07,9.152738261534827e-23,9.56e-10,1
0.01,7.392222728685641e+18,1.438449888287663e-06,1.3165755329830149e-21,9.56e-10,1
0.01,5.139019988722299e+17,5.455594781168514e-06,1.8938279283413314e-20,9.56e-10,1
0.01,3.5726096755722844e+16,2.06913808111479e-05,2.7241765719604774e-19,9.56e-10,1
0.01,2483652510012761.5,7.847599703514623e-05,3.918591485614067e-18,9.56e-10,1
0.01,172661733317567.75,0.00029763514416313193,5.636697484844806e-17,9.56e-10,1
0.01,12003319318438.207,0.0011288378916846883,8.108106869743571e-16,9.56e-10,1
0.01,834462112686.1654,0.004281332398719396,1.1663105469801578e-14,9.56e-10,1
0.01,58011205583.75245,0.01623776739188724,1.6776793764376948e-13,9.56e-10,1
0.01,4032897845.926072,0.06158482110660267,2.413259750341241e-12,9.56e-10,1
0.01,1529553613.4582055,0.1,6.362932748679943e-12,9.56e-10,1
0.01,739222916.9741696,0.14384498882876628,1.3165818836693068e-11,9.56e-10,1
0.01,357261593.7518774,0.20691380811147897,2.7242032935617207e-11,9.56e-10,1
0.01,280364725.7160567,0.23357214690901212,3.471393177736272e-11,9.56e-10,1
0.01,172662338.12057552,0.29763514416313175,5.636809700747949e-11,9.56e-10,1
0.01,83446792.67160401,0.42813323987193935,1.1663577681051015e-10,9.56e-10,1
0.01,40329531.5891012,0.6158482110660264,2.413458620494444e-10,9.56e-10,1
0.01,19491257.53537931,0.8858667904100825,4.994244845145348e-10,9.56e-10,1
0.01,19491257.535379283,0.8858667904100832,4.994244845144993e-10,9.56e-10,1
0.01,9420279.259608977,1.2742749857031335,1.0336061713857079e-09,9.56e-10,0
0.01,4549260.232340409,1.8329807108324356,2.1565466211621145e-09,9.56e-10,0
0.01,2197987.7644210993,2.636650898730358,4.44912824833863e-09,9.56e-10,0
0.01,1353335.065265283,3.359818286283788,7.208564246510035e-09,9.56e-10,0
0.01,1061931.2755086748,3.79269019073225,9.175839463297808e-09,9.56e-10,0
0.01,513094.371461485,5.455594781168517,1.8937884211103712e-08,9.56e-10,0
0.01,247973.98461891565,7.847599703514611,3.9187922210667584e-08,9.56e-10,0
0.01,119804.77639295472,11.288378916846883,8.084039976465646e-08,9.56e-10,0
0.01,94013.54929277196,12.742749857031322,1.0296901317542871e-07,9.56e-10,0
0.01,57901.0861466766,16.23776739188721,1.673033325406097e-07,9.56e-10,0
0.01,27979.650381568605,23.357214690901213,3.4577026013734416e-07,9.56e-10,0
0.01,13525.99782319319,33.59818286283781,7.175130004179141e-07,9.56e-10,0
0.01,6537.125340368915,48.32930238571752,1.483967436441529e-06,9.56e-10,0
0.01,6537.125340368915,48.32930238571752,1.483967436441529e-06,9.56e-10,0
0.01,3158.6664683526606,69.51927961775606,3.0626269242830818e-06,9.56e-10,0
0.01,1526.6492288122242,100.0,6.337645705733649e-06,9.56e-10,0
0.01,454.44025379198956,183.29807108324374,2.1303500115902795e-05,9.56e-10,0
0.01,31.594877732295696,695.192796177562,0.00030628177851757196,1.84e-10,0
0.01,2.195635880490052,2636.6508987303664,0.004404274390789456,1.84e-10,0
0.01,0.15265910901097376,10000.0,0.06344990809498502,1.84e-10,0
0.02,1.9135492496267824e+20,1e-07,1.1463307697609226e-23,4.04e-09,1
0.02,1.3302856534715126e+19,3.792690190732254e-07,1.6489393677031706e-22,4.04e-09,1
0.02,9.248050031517563e+17,1.438449888287663e-06,2.371916649265603e-21,4.04e-09,1
0.02,6.42917776060069e+16,5.455594781168514e-06,3.4118832391631134e-20,4.04e-09,1
0.02,4469518064514645.5,2.06913808111479e-05,4.907823064228032e-19,4.04e-09,1
0.02,310717676083688.0,7.847599703514623e-05,7.0596575384774e-18,4.04e-09,1
0.02,21600869005922.53,0.00029763514416313193,1.0154963597785038e-16,4.04e-09,1
0.02,1501676852490.3972,0.0011288378916846883,1.4607406257045865e-15,4.04e-09,1
0.02,104395493084.77179,0.004281332398719396,2.101202198652737e-14,4.04e-09,1
0.02,7257499554.954438,0.01623776739188724,3.0224742488461853e-13,4.04e-09,1
0.02,504536219.0546674,0.06158482110660267,4.347681418526551e-12,4.04e-09,1
0.02,191355007.4250169,0.1,1.1463334800515397e-11,4.04e-09,1
0.02,92480581.00591433,0.14384498882876628,2.3719280905374278e-11,4.04e-09,1
0.02,44695259.09392512,0.20691380811147897,4.9078712053405585e-11,4.04e-09,1
0.02,35075066.23730424,0.23357214690901212,6.253993840948827e-11,4.04e-09,1
0.02,21600944.77748529,0.29763514416313175,1.0155165763754481e-10,4.04e-09,1
0.02,10439622.152423935,0.42813323987193935,2.1012872713049658e-10,4.04e-09,1
0.02,5045431.498362527,0.6158482110660264,4.348039699092767e-10,4.04e-09,1
0.02,2438456.4709800333,0.8858667904100825,8.997533526898673e-10,4.04e-09,1
0.02,2438456.470980029,0.8858667904100832,8.997533526898034e-10,4.04e-09,1
0.02,1178525.417385868,1.2742749857031335,1.8621245992158847e-09,4.04e-09,1
0.02,569137.9650125612,1.8329807108324356,3.885192081659238e-09,4.04e-09,1
0.02,274980.2921505848,2.636650898730358,8.01546216117359e-09,4.04e-09,0
0.02,169309.4861658083,3.359818286283788,1.2986807915880125e-08,4.04e-09,0
0.02,132853.2575779592,3.79269019073225,1.6531012348886798e-08,4.04e-09,0
0.02,64190.78658675804,5.455594781168517,3.411812063710939e-08,4.04e-09,0
0.02,31022.84864192491,7.847599703514611,7.06001917953058e-08,4.04e-09,0
0.02,14988.19078682992,11.288378916846883,1.4564047814304138e-07,4.04e-09,0
0.02,11761.574859227285,12.742749857031322,1.8550695390478554e-07,4.04e-09,0
0.02,7243.723698409148,16.23776739188721,3.0141040144622794e-07,4.04e-09,0
0.02,3500.3966632256884,23.357214690901213,6.229329167180005e-07,4.04e-09,0
0.02,1692.1728562150042,33.59818286283781,1.2926573440870136e-06,4.04e-09,0
0.02,817.8284624061351,48.32930238571752,2.6734866183397833e-06,4.04e-09,0
0.02,817.8284624061351,48.32930238571752,2.6734866183397833e-06,4.04e-09,0
0.02,395.165233287737,69.51927961775606,5.517568578642168e-06,4.04e-09,0
0.02,190.99158080493447,100.0,1.1417778160070234e-05,4.04e-09,0
