#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(K+->pi+  a) 

0.0,0.0,1e-07,9.215427785533669e-18
0.0,0.0,3.792690190732254e-07,1.3255931068623955e-16
0.0,0.0,1.438449888287663e-06,1.9067992564811067e-15
0.0,0.0,5.455594781168514e-06,2.7428351774722375e-14
0.0,0.0,2.06913808111479e-05,3.945430954626401e-13
0.0,0.0,7.847599703514623e-05,5.675304715928573e-12
0.0,0.0,0.00029763514416313193,8.163641434616126e-11
0.0,0.0,0.0011288378916846883,1.1742989109441937e-09
0.0,0.0,0.004281332398719396,1.6891701368458208e-08
0.0,0.0,0.01623776739188724,2.4297865859922057e-07
0.0,0.0,0.06158482110660267,3.495126064252079e-06
0.0,0.0,0.1,9.215426449872105e-06
0.0,0.0,0.14384498882876628,1.9067986855575806e-05
0.0,0.0,0.20691380811147897,3.945428518423452e-05
0.0,0.0,0.23357214690901212,5.0275600244239996e-05
0.0,0.0,0.29763514416313175,8.163631075948075e-05
0.0,0.0,0.42813323987193935,0.00016891657651534108
0.0,0.0,0.6158482110660264,0.00034951080830854453
0.0,0.0,0.8858667904100825,0.0007231825668683198
0.0,0.0,0.8858667904100832,0.0007231825668683213
0.0,0.0,1.2742749857031335,0.0014963521944678921
0.0,0.0,1.8329807108324356,0.003096127068557011
0.0,0.0,2.636650898730358,0.006406305633852199
0.0,0.0,3.359818286283788,0.010402617403983872
0.0,0.0,3.79269019073225,0.01325609182905545
0.0,0.0,5.455594781168517,0.02743275430143761
0.0,0.0,7.847599703514611,0.056780272460368916
0.0,0.0,11.288378916846883,0.11754756663034784
0.0,0.0,12.742749857031322,0.14982068071401392
0.0,0.0,16.23776739188721,0.24339670354281773
0.0,0.0,23.357214690901213,0.5040656951310607
0.0,0.0,33.59818286283781,1.0400238148512122
0.0,0.0,48.32930238571752,2.1515718384708276
0.0,0.0,48.32930238571752,2.1515718384708276
0.0,0.0,69.51927961775606,4.451693130674277
0.0,0.0,100.0,9.211567334147617
0.0,0.0,183.29807108324374,30.956625774475423
0.0,0.0,695.192796177562,445.15513206309697
0.0,0.0,2636.6508987303664,6403.4964834556395
0.0,0.0,10000.0,92128.59624401268
0.01,9.723772552769362e+18,1e-07,7.276177724162149e-17
0.01,6.759896630354333e+17,3.792690190732254e-07,1.0466417034482245e-15
0.01,4.6994314403273064e+16,1.438449888287663e-06,1.505541641402306e-14
0.01,3267010883445891.5,5.455594781168514e-06,2.1656462058875652e-13
0.01,227120243120529.1,2.06913808111479e-05,3.115173542929559e-12
0.01,15789235688351.219,7.847599703514623e-05,4.4810210348233444e-11
0.01,1097656290771.5934,0.00029763514416313193,6.445724206948586e-10
0.01,76308274604.78815,0.0011288378916846883,9.27185126525866e-09
0.01,5304896281.839855,0.004281332398719396,1.3337093413429346e-07
0.01,368792570.3733745,0.01623776739188724,1.9184740462312307e-06
0.01,25638196.134687625,0.06158482110660267,2.7596286362062543e-05
0.01,9723774.97017927,0.1,7.276176669570748e-05
0.01,4699433.778255423,0.14384498882876628,0.00015055411906211665
0.01,2271204.668226198,0.20691380811147897,0.00031151716193893793
0.01,1782350.9510948712,0.23357214690901212,0.00039695846039862996
0.01,1097658.4054363372,0.29763514416313175,0.0006445716028108553
0.01,530491.6027254382,0.42813323987193935,0.0013337058896083363
0.01,256383.76260652352,0.6158482110660264,0.002759614438909378
0.01,123909.28288031193,0.8858667904100825,0.005709995244941252
0.01,123909.28288031176,0.8858667904100832,0.005709995244941263
0.01,59885.23371245763,1.2742749857031335,0.011814670743749868
0.01,28942.818571571388,1.8329807108324356,0.0244459305977898
0.01,13966.049825562264,2.636650898730358,0.05058193654382855
0.01,8600.81951191429,3.359818286283788,0.08213540900040338
0.01,6749.513625755743,3.79269019073225,0.10466543965265905
0.01,3261.895648574626,5.455594781168517,0.21659938139157645
0.01,1576.420611241777,7.847599703514611,0.4483170648860645
0.01,761.8799583155173,11.288378916846883,0.9281142511776218
0.01,597.9001303559911,12.742749857031322,1.1829314113245892
0.01,368.2304961165204,16.23776739188721,1.9217747821027389
0.01,177.98155798898406,23.357214690901213,3.979925476909956
0.01,85.9950756685077,33.59818286283781,8.211662323585015
0.01,41.56361855953495,48.32930238571752,16.988054648522688
0.01,41.56361855953495,48.32930238571752,16.988054648522688
0.01,20.089621427389257,69.51927961775606,35.14900354714466
0.01,9.710504384516634,100.0,72.73129647498308
0.01,2.8892326289622843,183.29807108324374,244.422631393251
0.01,0.20083907282641492,695.192796177562,3514.78838649094
0.01,0.013962106142028387,2636.6508987303664,50559.75648011914
0.01,0.0009706513997299386,10000.0,727414.9994439936
0.02,1.2154060770797537e+18,1e-07,1.9769951609638477e-16
0.02,8.449415492162717e+16,3.792690190732254e-07,2.843808468433702e-15
0.02,5873972782062609.0,1.438449888287663e-06,4.0906759737299633e-14
0.02,408354356303300.25,5.455594781168514e-06,5.884232397432875e-13
0.02,28388500678978.15,2.06913808111479e-05,8.46417343474594e-12
0.02,1973548116631.0417,7.847599703514623e-05,1.2175289331656717e-10
0.02,137199643359.47577,0.00029763514416313193,1.75135435789706e-09
0.02,9538020370.469898,0.0011288378916846883,2.5192354804257673e-08
0.02,663076305.439681,0.004281332398719396,3.623793994491637e-07
0.02,46096587.38738581,0.01623776739188724,5.2126460479916585e-06
0.02,3204601.8372485577,0.06158482110660267,7.498129741553638e-05
0.02,1215406.3792526876,0.1,0.00019769948744230046
0.02,587397.5704441196,0.14384498882876628,0.0004090674748921878
0.02,283885.2864144252,0.20691380811147897,0.0008464168208334804
0.02,222781.86432367872,0.23357214690901212,0.001078567601098719
0.02,137199.90768981967,0.29763514416313175,0.001751352135641394
0.02,66307.87735914285,0.42813323987193935,0.003623784615855138
0.02,32046.243527702805,0.6158482110660264,0.007498091166372701
0.02,15487.825809562075,0.8858667904100825,0.015514509672968876
0.02,15487.825809562057,0.8858667904100832,0.01551450967296891
0.02,7485.250880611194,1.2742749857031335,0.0321013968793131
0.02,3617.6573920248125,1.8329807108324356,0.06642153109674577
0.02,1745.6620614255476,2.636650898730358,0.13743513087545492
0.02,1075.0444464831664,3.359818286283788,0.2231684165689921
0.02,843.643692888028,3.79269019073225,0.2843842956533717
0.02,407.7149606848242,5.455594781168517,0.5885176875998016
0.02,197.04194551130306,7.847599703514611,1.2181130003381335
0.02,95.22985636733387,11.288378916846883,2.521759985749976
0.02,74.73348366518101,12.742749857031322,3.214118407491404
0.02,46.02632823537438,16.23776739188721,5.221614408981416
0.02,22.24649409490512,23.357214690901213,10.813772982371386
0.02,10.748804585588582,33.59818286283781,22.311737415768125
0.02,5.195172075363285,48.32930238571752,46.15789100751534
0.02,5.195172075363285,48.32930238571752,46.15789100751534
