#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(K+->pi+  a) ,  BR_Na62(K+->pi+  a) ,  Allowed/excluded  (1/0) 

0.0,0.0,1e-07,4.906572383798481e-19,2.02e-10,1
0.0,0.0,3.792690190732254e-07,7.057858497385995e-18,2.02e-10,1
0.0,0.0,1.438449888287663e-06,1.0152375768085814e-16,2.02e-10,1
0.0,0.0,5.455594781168514e-06,1.4603683809103952e-15,2.02e-10,1
0.0,0.0,2.06913808111479e-05,2.1006667738814172e-14,2.02e-10,1
0.0,0.0,7.847599703514623e-05,3.0217046171880736e-13,2.02e-10,1
0.0,0.0,0.00029763514416313193,4.34658102589961e-12,2.02e-10,1
0.0,0.0,0.0011288378916846883,6.252414291301696e-11,2.02e-10,1
0.0,0.0,0.004281332398719396,8.993975821532256e-10,2.02e-10,0
0.0,0.0,0.01623776739188724,1.2937562058021582e-08,2.02e-10,0
0.0,0.0,0.06158482110660267,1.861012753151436e-07,2.02e-10,0
0.0,0.0,0.1,4.906844604181922e-07,2.02e-10,0
0.0,0.0,0.14384498882876628,1.015294278210346e-06,2.02e-10,0
0.0,0.0,0.20691380811147897,2.1007845991254032e-06,2.02e-10,0
0.0,0.0,0.23357214690901212,2.6769774464382346e-06,2.02e-10,0
0.0,0.0,0.29763514416313175,4.346814202235161e-06,2.02e-10,0
0.0,0.0,0.42813323987193935,8.994159935547267e-06,2.02e-10,0
0.0,0.0,0.6158482110660264,1.8610160472189566e-05,2.02e-10,0
0.0,0.0,0.8858667904100825,3.8506994095246076e-05,2.02e-10,0
0.0,0.0,0.8858667904100832,3.850699409537059e-05,2.02e-10,0
0.0,0.0,1.2742749857031335,7.967629128063984e-05,2.02e-10,0
0.0,0.0,1.8329807108324356,0.00016486125335973332,2.02e-10,0
0.0,0.0,2.636650898730358,0.0003411207044928577,2.02e-10,0
0.0,0.0,3.359818286283788,0.0005539038708426274,2.02e-10,0
0.0,0.0,3.79269019073225,0.0007058258500906197,2.02e-10,0
0.0,0.0,5.455594781168517,0.0014604511596847751,2.02e-10,0
0.0,0.0,7.847599703514611,0.0030218751311662955,2.02e-10,0
0.0,0.0,11.288378916846883,0.006252676940535956,2.02e-10,0
0.0,0.0,12.742749857031322,0.007967629829074032,2.02e-10,0
0.0,0.0,16.23776739188721,0.01293765201019119,2.02e-10,0
0.0,0.0,23.357214690901213,0.02676978851711021,2.02e-10,0
0.0,0.0,33.59818286283781,0.05539038893427436,2.02e-10,0
0.0,0.0,48.32930238571752,0.11461036320170345,2.02e-10,0
0.0,0.0,48.32930238571752,0.11461036320170345,2.02e-10,0
0.0,0.0,69.51927961775606,0.23714466717772223,2.02e-10,0
0.0,0.0,100.0,0.4906850618567948,2.02e-10,0
0.0,0.0,183.29807108324374,1.6486126445669833,2.02e-10,0
0.0,0.0,695.192796177562,23.714466756157027,2.02e-10,0
0.0,0.0,2636.6508987303664,341.1207206051783,2.02e-10,0
0.0,0.0,10000.0,4906.850624637188,2.02e-10,0
0.01,1.348938137595098e+17,1e-07,6.253180179380714e-19,9.56e-10,1
0.01,9377720757447918.0,3.792690190732254e-07,8.994886330518363e-18,9.56e-10,1
0.01,651932391509330.6,1.438449888287663e-06,1.2938693238531597e-16,9.56e-10,1
0.01,45321870212314.586,5.455594781168514e-06,1.8611661868592636e-15,9.56e-10,1
0.01,3150743763341.4873,2.06913808111479e-05,2.6771943439158304e-14,9.56e-10,1
0.01,219037432441.4126,7.847599703514623e-05,3.8510108365130574e-13,9.56e-10,1
0.01,15227321603.647486,0.00029763514416313193,5.5394993068839735e-12,9.56e-10,1
0.01,1058591405.5206693,0.0011288378916846883,7.96838812543446e-11,9.56e-10,1
0.01,73592386.34311755,0.004281332398719396,1.1462370661593152e-09,9.56e-10,0
0.01,5116084.015361629,0.01623776739188724,1.648827334084861e-08,9.56e-10,0
0.01,355666.33277004317,0.06158482110660267,2.3717673258031462e-07,9.56e-10,0
0.01,134893.2130779362,0.1,6.253527110593178e-07,9.56e-10,0
0.01,65192.946911325285,0.14384498882876628,1.293941586943138e-06,9.56e-10,0
0.01,31507.2957912635,0.20691380811147897,2.6773445062741304e-06,9.56e-10,0
0.01,24725.664376471614,0.23357214690901212,3.4116733636685054e-06,9.56e-10,0
0.01,15227.256034913911,0.29763514416313175,5.539796478417524e-06,9.56e-10,0
0.01,7359.2265393954285,0.42813323987193935,1.146260530566224e-05,9.56e-10,0
0.01,3556.6628222819395,0.6158482110660264,2.37177152392683e-05,9.56e-10,0
0.01,1718.9103217398288,0.8858667904100825,4.907523081469586e-05,9.56e-10,0
0.01,1718.9103217398256,0.8858667904100832,4.9075230814854555e-05,9.56e-10,0
0.01,830.737364279448,1.2742749857031335,0.00010154343326266201,9.56e-10,0
0.01,401.4895718540961,1.8329807108324356,0.00021010739090714434,9.56e-10,0
0.01,194.03710890584546,2.636650898730358,0.0004347412126548038,9.56e-10,0
0.01,119.49740630250174,3.359818286283788,0.0007059226758525754,9.56e-10,0
0.01,93.77678099515511,3.79269019073225,0.0008995396114923558,1.84e-10,0
0.01,45.321664018289795,5.455594781168517,0.0018612716842514832,1.84e-10,0
0.01,21.903644037389093,7.847599703514611,0.003851228148018017,1.84e-10,0
0.01,10.585878356204766,11.288378916846883,0.007968722858697794,1.84e-10,0
0.01,8.307373584118382,12.742749857031322,0.010154344219668316,1.84e-10,0
0.01,5.116081159571241,16.23776739188721,0.01648838798037293,1.84e-10,0
0.01,2.472566333443173,23.357214690901213,0.03411675154618124,1.84e-10,0
0.01,1.194974059821056,33.59818286283781,0.07059226994300445,1.84e-10,0
0.01,0.5775226267493323,48.32930238571752,0.14606515413713128,1.84e-10,0
0.01,0.5775226267493323,48.32930238571752,0.14606515413713128,1.84e-10,0
0.01,0.27911265660999596,69.51927961775606,0.3022289729869547,1.84e-10,0
0.01,0.13489319980393125,100.0,0.6253534775626229,1.84e-10,0
0.01,0.04014895696844152,183.29807108324374,2.101074050496692,1.84e-10,0
