#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(K+->pi+  a) ,  BR_Na62(K+->pi+  a) ,  Allowed/excluded  (1/0) 

0.0,0.0,1e-06,2.395612337960163e-11,2.02e-10,1
0.0,0.0,3.359818286283781e-06,2.704257979712001e-10,2.02e-10,0
0.0,0.0,1.1288378916846883e-05,3.052668861794609e-09,2.02e-10,0
0.0,0.0,3.792690190732254e-05,3.4459681060942703e-08,2.02e-10,0
0.0,0.0,0.00012742749857031334,3.8899375007024867e-07,2.02e-10,0
0.0,0.0,0.0004281332398719391,4.391094869718668e-06,2.02e-10,0
0.0,0.0,0.0014384498882876629,4.956785043193704e-05,2.02e-10,0
0.0,0.0,0.004832930238571752,0.0005595342947149238,2.02e-10,0
0.0,0.0,0.01623776739188721,0.0063161975936345365,2.02e-10,0
0.0,0.0,0.05455594781168514,0.07129948044502206,2.02e-10,0
0.0,0.0,0.1,0.2395531952818598,2.02e-10,0
0.0,0.0,0.14384498882876628,0.4956685600211987,2.02e-10,0
0.0,0.0,0.18329807108324336,0.8048550150274244,2.02e-10,0
0.0,0.0,0.20691380811147897,1.0256065792485998,2.02e-10,0
0.0,0.0,0.29763514416313175,2.1221214649519236,2.02e-10,0
0.0,0.0,0.42813323987193935,4.390962098811486,2.02e-10,0
0.0,0.0,0.6158482110660255,9.08550654979498,2.02e-10,0
0.0,0.0,0.6158482110660264,9.085506549795092,2.02e-10,0
0.0,0.0,0.8858667904100825,18.79916709646888,2.02e-10,0
0.0,0.0,1.2742749857031335,38.89807182435392,2.02e-10,0
0.0,0.0,1.8329807108324356,80.48548067443814,2.02e-10,0
0.0,0.0,2.06913808111479,102.56063439753285,2.02e-10,0
0.0,0.0,2.636650898730358,166.53557157356755,2.02e-10,0
0.0,0.0,3.79269019073225,344.5850908926884,2.02e-10,0
0.0,0.0,5.455594781168517,712.9941307141389,2.02e-10,0
0.0,0.0,6.951927961775605,1157.7432822111164,2.02e-10,0
0.0,0.0,7.847599703514611,1475.2833031038783,2.02e-10,0
0.0,0.0,11.288378916846883,3052.564856600971,2.02e-10,0
0.0,0.0,16.23776739188721,6316.178180826524,2.02e-10,0
0.0,0.0,23.357214690901213,13069.04478805047,2.02e-10,0
0.0,0.0,23.357214690901213,13069.04478805047,2.02e-10,0
0.0,0.0,33.59818286283781,27041.658236043608,2.02e-10,0
0.0,0.0,48.32930238571752,55952.92480578514,2.02e-10,0
0.0,0.0,69.51927961775606,115774.32742668854,2.02e-10,0
0.0,0.0,78.47599703514607,147528.32941359392,2.02e-10,0
0.0,0.0,100.0,239553.06963834388,2.02e-10,0
0.0,0.0,263.6650898730355,1665355.6825999666,2.02e-10,0
0.0,0.0,885.8667904100832,18799165.97385841,2.02e-10,0
0.0,0.0,2976.3514416313133,212212108.8246866,2.02e-10,0
0.0,0.0,10000.0,2395530695.1263757,2.02e-10,0
0.01,1360066606475052.8,1e-06,1.8914912617031934e-10,9.56e-10,1
0.01,120483783946684.92,3.359818286283781e-06,2.135187007081377e-09,9.56e-10,0
0.01,10673258302542.637,1.1288378916846883e-05,2.410279987902598e-08,9.56e-10,0
0.01,945508511742.2305,3.792690190732254e-05,2.720815241056587e-07,9.56e-10,0
0.01,83759462551.85101,0.00012742749857031334,3.071357863107093e-06,9.56e-10,0
0.01,7419974697.496357,0.0004281332398719391,3.467054098767419e-05,9.56e-10,0
0.01,657311515.2845085,0.0014384498882876629,0.0003913703167568963,9.56e-10,0
0.01,58229110.426954634,0.004832930238571752,0.004417886034005463,9.56e-10,0
0.01,5158326.844511884,0.01623776739188721,0.04987047514425154,9.56e-10,0
0.01,456959.15506125527,0.05455594781168514,0.5629556255356855,9.56e-10,0
0.01,136007.1107656242,0.1,1.8914277924221112,9.56e-10,0
0.01,65731.28904386616,0.14384498882876628,3.9136246508874537,9.56e-10,0
0.01,40480.49713854927,0.18329807108324336,6.354852175952026,9.56e-10,0
0.01,31767.473855370263,0.20691380811147897,8.097828901005974,9.56e-10,0
