#  m  [GeV] ,  tau  [ps] ,  c ,  c_eff(theo) ,  c_eff(exp)^upper ,    c_eff(exp)^lower ,                c_eff(exp)^upper  converted ,    c_eff(exp)^lower  converted ,  allowed/excluded  (1/0)
0.010128,143332.42651200714,1.0,0.9998803879493895,0.038337,0.00023848,1313.0422500000002,8.16794,1
0.010128,98413.41780936226,1.2067926406393286,1.2066486915360097,0.038337,0.00023848,1313.0422500000002,8.16794,1
0.010128,67571.81261631241,1.4563484775012439,1.4561752254781053,0.038337,0.00023848,1313.0422500000002,8.16794,1
0.010128,46395.9949937155,1.7575106248547918,1.7573020395050798,0.038337,0.00023848,1313.0422500000002,8.16794,1
0.010128,31856.692850650015,2.120950887920191,2.1206996443028414,0.038337,0.00023848,1313.0422500000002,8.16794,1
0.010128,21873.932146064017,2.5595479226995357,2.5592451358153108,0.038337,0.00023848,1313.0422500000002,8.16794,1
0.010128,15019.624118884249,3.088843596477481,3.08847850744916,0.038337,0.00023848,1313.0422500000002,8.16794,1
0.010128,10313.287982987551,3.72759372031494,3.7271533156134344,0.038337,0.00023848,1313.0422500000002,8.16794,1
0.010128,7072.654984216351,4.498432668969445,4.497903667541086,0.038337,0.00023848,1313.0422500000002,8.16794,1
0.010128,4856.395175449773,5.428675439323859,5.4280369640969495,0.038337,0.00023848,1313.0422500000002,8.16794,1
0.010128,3334.622090534326,6.551285568595508,6.5505147825218,0.038337,0.00023848,1313.0422500000002,8.16794,1
0.010128,2289.707732994478,7.906043210907698,7.905112505860511,0.038337,0.00023848,1313.0422500000002,8.16794,1
0.010128,1572.223414365973,9.54095476349994,9.539830758596636,0.038337,0.00023848,1313.0422500000002,8.16794,0
0.010128,1079.5664410135648,11.513953993264469,11.512596323548074,0.038337,0.00023848,1313.0422500000002,8.16794,0
0.010128,741.2857568784583,13.894954943731374,13.893314795366802,0.038337,0.00023848,1313.0422500000002,8.16794,0
0.010128,509.0066158321488,16.768329368110074,16.766347707158054,0.038337,0.00023848,1313.0422500000002,8.16794,0
0.010128,349.5127520748344,20.235896477251565,20.233501908146735,0.038337,0.00023848,1313.0422500000002,8.16794,0
0.010128,239.9964113342901,24.42053094548651,24.417637121930756,0.038337,0.00023848,1313.0422500000002,8.16794,0
0.010128,164.7968224114559,29.4705170255181,29.46701952006525,0.038337,0.00023848,1313.0422500000002,8.16794,0
0.010128,113.13383490704057,35.564803062231285,35.56062345346891,0.038337,0.00023848,1313.0422500000002,8.16794,0
0.010128,77.68226273424918,42.91934260128776,42.91430128560507,0.038337,0.00023848,1313.0422500000002,8.16794,0
0.010128,53.34028089701391,51.7947467923121,51.78866478213038,0.038337,0.00023848,1313.0422500000002,8.16794,0
0.010128,36.62624452206877,62.505519252739695,62.4981805984952,0.038337,0.00023848,1313.0422500000002,8.16794,0
0.010128,25.149708832901688,75.43120063354615,75.42234465668568,0.038337,0.00023848,1313.0422500000002,8.16794,0
0.010128,17.269386082163173,91.02981779915217,91.01912973194634,0.038337,0.00023848,1313.0422500000002,8.16794,0
0.010128,11.858344433679132,109.85411419875584,109.84121389592454,0.038337,0.00023848,1313.0422500000002,8.16794,0
0.010128,8.142808360589965,132.57113655901082,132.55556488387055,0.038337,0.00023848,1313.0422500000002,8.16794,0
0.010128,5.59148299735148,159.98587196060572,159.96707436788225,0.038337,0.00023848,1313.0422500000002,8.16794,0
0.010128,3.8395646049565264,193.06977288832496,193.0470796255848,0.038337,0.00023848,1313.0422500000002,8.16794,0
0.010128,2.636565546490858,232.99518105153717,232.96778327904357,0.038337,0.00023848,1313.0422500000002,8.16794,0
0.010128,1.8104896761094829,281.1768697974228,281.14379081788553,0.038337,0.00023848,1313.0422500000002,8.16794,0
0.010128,1.2432371180239294,339.3221771895326,339.2822376179749,0.038337,0.00023848,1313.0422500000002,8.16794,0
0.010128,0.8533918650926368,409.49150623804235,409.4433473862012,0.038337,0.00023848,1313.0422500000002,8.16794,0
0.010128,0.5859757839677062,494.1713361323833,494.11319949898234,0.038337,0.00023848,1313.0422500000002,8.16794,0
0.010128,0.40235886036341406,596.3623316594643,596.2921474151947,0.038337,0.00023848,1313.0422500000002,8.16794,0
0.010128,0.27627979701978,719.6856730011514,719.6009425187251,0.038337,0.00023848,1313.0422500000002,8.16794,0
0.010128,0.18969596378141762,868.511373751352,868.4094015815457,0.038337,0.00023848,1313.0422500000002,8.16794,0
0.010128,0.13025380807753634,1048.1131341546852,1047.9900931127113,0.038337,0.00023848,1313.0422500000002,8.16794,0
0.010128,0.08943830299034387,1264.8552168552958,1264.7067471407195,0.038337,0.00023848,1313.0422500000002,8.16794,0
0.010128,0.06141255857030114,1526.4179671752318,1526.2388081975728,0.038337,0.00023848,1313.0422500000002,8.16794,1
0.010128,0.04216879430808871,1842.0699693267145,1841.8537731559138,0.038337,0.00023848,1313.0422500000002,8.16794,1
0.010128,0.028955123150024083,2222.996482526193,2222.7355888600828,0.038337,0.00023848,1313.0422500000002,8.16794,1
0.010128,0.019881988299253785,2682.6957952797247,2682.380959930478,0.038337,0.00023848,1313.0422500000002,8.16794,1
0.010128,0.013651938556163966,3237.457542817643,3237.077610082208,0.038337,0.00023848,1313.0422500000002,8.16794,1
0.010128,0.009374087732610205,3906.939937054613,3906.481438961282,0.038337,0.00023848,1313.0422500000002,8.16794,1
0.010128,0.006436710601505936,4714.8663634573895,4714.313036369317,0.038337,0.00023848,1313.0422500000002,8.16794,1
0.010128,0.004419762836206244,5689.866029018293,5689.198259492014,0.038337,0.00023848,1313.0422500000002,8.16794,1
0.010128,0.0030348270910524645,6866.488450042998,6865.682568196042,0.038337,0.00023848,1313.0422500000002,8.16794,1
0.010128,0.002083861912679519,8286.427728546843,8285.455169118826,0.038337,0.00023848,1313.0422500000002,8.16794,1
0.010128,0.001430882316529348,10000.0,9998.826289911036,0.038337,0.00023848,1313.0422500000002,8.16794,1
0.010606,124813.64824581149,1.0,0.9998807494067298,0.035516,0.00023848,1216.423,8.16794,1
0.010606,85698.24543208556,1.2067926406393286,1.2066491265434793,0.035516,0.00023848,1216.423,8.16794,1
0.010606,58841.42425102402,1.4563484775012439,1.4561757490449072,0.035516,0.00023848,1216.423,8.16794,1
0.010606,40401.55610279337,1.7575106248547918,1.757302669857612,0.035516,0.00023848,1216.423,8.16794,1
0.010606,27740.755342317043,2.120950887920191,2.1207004035794452,0.035516,0.00023848,1216.423,8.16794,1
0.010606,19047.783678956297,2.5595479226995357,2.5592460508685084,0.035516,0.00023848,1216.423,8.16794,1
0.010606,13079.063586369433,3.088843596477481,3.088479610794043,0.035516,0.00023848,1216.423,8.16794,1
0.010606,8980.79391713453,3.72759372031494,3.7271546465785392,0.035516,0.00023848,1216.423,8.16794,1
0.010606,6158.855893237801,4.498432668969445,4.497905266135456,0.035516,0.00023848,1216.423,8.16794,1
0.010606,4228.940636626107,5.428675439323859,5.428038893509827,0.035516,0.00023848,1216.423,8.16794,1
