#  m  [GeV] ,  tau  [ps] ,  c ,  c_eff(theo) ,  c_eff(exp)^upper ,    c_eff(exp)^lower ,                c_eff(exp)^upper  converted ,    c_eff(exp)^lower  converted ,  allowed/excluded  (1/0)
0.02172,14536549754.944992,0.001,0.0009998835996976997,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,1
0.02172,9086145903.367453,0.0012648552168552957,0.0012647079873274415,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,1
0.02172,5679342674.567577,0.0015998587196060573,0.0015996724955732243,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,1
0.02172,3549902626.487136,0.0020235896477251575,0.0020233541012929057,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,1
0.02172,2218885067.2586813,0.002559547922699536,0.0025592499905804224,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,1
0.02172,1386925630.5178115,0.0032374575428176433,0.0032370807018519197,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,1
0.02172,866905064.6107786,0.004094915062380427,0.004094438413178512,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,1
0.02172,541863509.6695771,0.005179474679231213,0.005178871787121973,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,1
0.02172,338694597.9664387,0.006551285568595509,0.006550522997609598,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,1
0.02172,211702814.7463116,0.008286427728546842,0.008285463187150148,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,1
0.02172,132325941.23635381,0.010481131341546858,0.010479911337327083,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,1
0.02172,82711014.28252105,0.013257113655901095,0.01325557052921794,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,1
0.02172,51698946.56341317,0.016768329368110083,0.016766377540359444,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,1
0.02172,32314692.604981262,0.021209508879201904,0.021207040107953705,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,1
0.02172,20198464.01565008,0.02682695795279726,0.02682383533132437,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,0
0.02172,12625152.423094954,0.0339322177189533,0.033928268088712035,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,0
0.02172,7891414.689234424,0.04291934260128778,0.04291434695926075,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,0
0.02172,4932567.3413375355,0.054286754393238594,0.05428043576759541,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,0
0.02172,3083124.4469854636,0.06866488450043001,0.06865689263305912,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,0
0.02172,1927120.5695334366,0.08685113737513529,0.08684102938345882,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,0
0.02172,1204554.3544220263,0.10985411419875583,0.1098413301878046,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,0
0.02172,752910.6073098734,0.13894954943731375,0.1389333817946823,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,0
0.02172,470608.3657985419,0.1757510624854793,0.17573061731982073,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,0
0.02172,294153.92744679784,0.22229964825261955,0.22227379714080642,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,0
0.02172,183860.23194738122,0.28117686979742307,0.2811441896968047,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,0
0.02172,114920.68723083327,0.35564803062231287,0.35560672945603106,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,0
0.02172,71829.8175743012,0.4498432668969444,0.4497910917477022,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,0
0.02172,44895.85779353338,0.5689866029018299,0.5689207263480244,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,0
0.02172,28060.925176237437,0.7196856730011522,0.7196025496192099,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,0
0.02172,17538.49617036401,0.9102981779915218,0.910193356186135,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,0
0.02172,10961.747010452022,1.151395399326448,1.1512632656024702,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,0
0.02172,6851.228281695591,1.4563484775012443,1.456181910198489,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,0
0.02172,4282.159081695474,1.8420699693267164,1.8418598934588233,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,0
0.02172,2676.4907668294554,2.329951810515372,2.3296866571621626,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,0
0.02172,1672.931498043716,2.9470517025518097,2.9467167575343702,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,0
0.02172,1045.6824790572937,3.7275937203149416,3.727170310477991,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,0
0.02172,652.78142378631,4.714866363457395,4.7143332974939804,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,0
0.02172,408.0212312542357,5.963623316594643,5.962948881587459,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,0
0.02172,255.03465157582966,7.543120063354623,7.542266475884644,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,0
0.02172,159.41047399503037,9.540954763499943,9.539874121920429,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,0
0.02172,99.6405114309584,12.067926406393289,12.0665579702872,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,0
0.02172,62.28120303617506,15.264179671752334,15.262446412046392,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,0
0.02172,38.92966247830541,19.306977288832496,19.304781513467926,0.0009291,7.308366852589642e-07,31.821675,0.025031156470119522,0
