#  m  [GeV] ,  tau  [ps] ,  c ,  c_eff(theo) ,  c_eff(exp)^upper ,    c_eff(exp)^lower ,                c_eff(exp)^upper  converted ,    c_eff(exp)^lower  converted ,  allowed/excluded  (1/0)
0.020924,10574587795.187023,0.001,0.0010008411479375146,0.0012082,7.8008e-06,41.38085,0.2671774,1
0.020924,3147368963.087505,0.0018329807108324356,0.0018345225187767892,0.0012082,7.8008e-06,41.38085,0.2671774,1
0.020924,936767615.2640969,0.003359818286283781,0.003362644390505174,0.0012082,7.8008e-06,41.38085,0.2671774,1
0.020924,278814964.4168417,0.006158482110660267,0.006163662305182333,0.0012082,7.8008e-06,41.38085,0.2671774,1
0.020924,82985132.32827985,0.011288378916846888,0.01129787411346857,0.0012082,7.8008e-06,41.38085,0.2671774,1
0.020924,24699292.02113888,0.02069138081114789,0.020708785323305633,0.0012082,7.8008e-06,41.38085,0.2671774,1
0.020924,7351377.535088382,0.0379269019073225,0.03795880404181119,0.0012082,7.8008e-06,41.38085,0.2671774,1
0.020924,2188028.4999970817,0.06951927961775606,0.06957775561144837,0.0012082,7.8008e-06,41.38085,0.2671774,1
0.020924,651234.355655568,0.12742749857031335,0.12753468391848694,0.0012082,7.8008e-06,41.38085,0.2671774,1
0.020924,193830.39422941793,0.23357214690901212,0.23376861546881433,0.0012082,7.8008e-06,41.38085,0.2671774,1
0.020924,57690.88130154593,0.42813323987193913,0.42849336231361396,0.0012082,7.8008e-06,41.38085,0.2671774,0
0.020924,17170.958148679132,0.7847599703514607,0.7854200644309849,0.0012082,7.8008e-06,41.38085,0.2671774,0
0.020924,5110.789981005508,1.438449888287663,1.4396598103853573,0.0012082,7.8008e-06,41.38085,0.2671774,0
0.020924,1518.8008295248405,2.636650898730358,2.638870743690178,0.0012082,7.8008e-06,41.38085,0.2671774,0
0.020924,452.0271562971803,4.832930238571752,4.836999440508828,0.0012082,7.8008e-06,41.38085,0.2671774,0
0.020924,134.53501884611865,8.858667904100823,8.86612784394915,0.0012082,7.8008e-06,41.38085,0.2671774,0
0.020924,40.04480317048468,16.23776739188721,16.251444571252122,0.0012082,7.8008e-06,41.38085,0.2671774,0
