#  m  [GeV] ,  tau  [ps] ,  c ,  c_eff(theo) ,  c_eff(exp)^upper ,    c_eff(exp)^lower ,                c_eff(exp)^upper  converted ,    c_eff(exp)^lower  converted ,  allowed/excluded  (1/0)
0.020924,4399778.641896876,0.001,0.002145919328146128,0.0012082,7.8008e-06,41.38085,0.2671774,1
0.020924,1309529.1552180317,0.0018329807108324356,0.003933428131138373,0.0012082,7.8008e-06,41.38085,0.2671774,1
0.020924,389762.01614157023,0.003359818286283781,0.007209896816418348,0.0012082,7.8008e-06,41.38085,0.2671774,1
0.020924,116006.90118925982,0.006158482110660267,0.013215600251605225,0.0012082,7.8008e-06,41.38085,0.2671774,1
0.020924,34527.736241653714,0.011288378916846888,0.024223938444305697,0.0012082,7.8008e-06,41.38085,0.2671774,1
0.020924,10276.668756717445,0.02069138081114789,0.04440200977272373,0.0012082,7.8008e-06,41.38085,0.2671774,1
0.020924,3058.6979608348734,0.0379269019073225,0.08138802515632057,0.0012082,7.8008e-06,41.38085,0.2671774,1
0.020924,910.3760378018525,0.06951927961775606,0.14918267784258665,0.0012082,7.8008e-06,41.38085,0.2671774,1
0.020924,270.95990810250436,0.12742749857031335,0.27344896846783723,0.0012082,7.8008e-06,41.38085,0.2671774,0
0.020924,80.64719210636234,0.23357214690901212,0.5012266821649949,0.0012082,7.8008e-06,41.38085,0.2671774,0
0.020924,24.003438778918113,0.42813323987193913,0.9187388377153042,0.0012082,7.8008e-06,41.38085,0.2671774,0
0.020924,7.144266982549347,0.7847599703514607,1.6840305653693686,0.0012082,7.8008e-06,41.38085,0.2671774,0
0.020924,2.126384936735365,1.438449888287663,3.086795540314678,0.0012082,7.8008e-06,41.38085,0.2671774,0
0.020924,0.6328868877513696,2.636650898730358,5.658036681218463,0.0012082,7.8008e-06,41.38085,0.2671774,0
0.020924,0.18836938016578553,4.832930238571752,10.371072095392627,0.0012082,7.8008e-06,41.38085,0.2671774,0
0.020924,0.05606534763633593,8.858667904100823,19.00997509904334,0.0012082,7.8008e-06,41.38085,0.2671774,0
0.020924,0.016687017828696048,16.23776739188721,34.844917667487124,0.0012082,7.8008e-06,41.38085,0.2671774,0
0.020924,0.004966642957486285,29.763514416313193,63.870061952583846,0.0012082,7.8008e-06,41.38085,0.2671774,1
0.020924,0.0014782474927215012,54.555947811685144,117.0725915562942,0.0012082,7.8008e-06,41.38085,0.2671774,1
0.020924,0.00043997840561522435,100.0,214.59180208738715,0.0012082,7.8008e-06,41.38085,0.2671774,1
0.022633,4065574.703180533,0.001,0.0021404175186348876,0.00094152,7.622672281959379e-06,32.247060000000005,0.2610765256571087,1
0.022633,1210058.2885144455,0.0018329807108324356,0.003923343419940537,0.00094152,7.622672281959379e-06,32.247060000000005,0.2610765256571087,1
0.022633,360155.9819631266,0.003359818286283781,0.007191411734481937,0.00094152,7.622672281959379e-06,32.247060000000005,0.2610765256571087,1
0.022633,107195.10298298865,0.006158482110660267,0.013181717451829823,0.00094152,7.622672281959379e-06,32.247060000000005,0.2610765256571087,1
0.022633,31905.035021341835,0.011288378916846888,0.0241618319245256,0.00094152,7.622672281959379e-06,32.247060000000005,0.2610765256571087,1
0.022633,9496.060629614336,0.02069138081114789,0.04428816971846001,0.00094152,7.622672281959379e-06,32.247060000000005,0.2610765256571087,1
0.022633,2826.3615360465506,0.0379269019073225,0.08117935853117521,0.00094152,7.622672281959379e-06,32.247060000000005,0.2610765256571087,1
0.022633,841.2245504399732,0.06951927961775606,0.14880019594210325,0.00094152,7.622672281959379e-06,32.247060000000005,0.2610765256571087,1
0.022633,250.37799484891477,0.12742749857031335,0.27274788652039095,0.00094152,7.622672281959379e-06,32.247060000000005,0.2610765256571087,0
0.022633,74.52129133160935,0.23357214690901212,0.49994161247698443,0.00094152,7.622672281959379e-06,32.247060000000005,0.2610765256571087,0
0.022633,22.180155409490425,0.42813323987193913,0.9163833297634709,0.00094152,7.622672281959379e-06,32.247060000000005,0.2610765256571087,0
0.022633,6.6015937725401646,0.7847599703514607,1.679712964727808,0.00094152,7.622672281959379e-06,32.247060000000005,0.2610765256571087,0
0.022633,1.9648663173969434,1.438449888287663,3.07888146161998,0.00094152,7.622672281959379e-06,32.247060000000005,0.2610765256571087,0
0.022633,0.5848132701599126,2.636650898730358,5.643530327625432,0.00094152,7.622672281959379e-06,32.247060000000005,0.2610765256571087,0
0.022633,0.17406098205706977,4.832930238571752,10.344482229070442,0.00094152,7.622672281959379e-06,32.247060000000005,0.2610765256571087,0
0.022633,0.05180666550145896,8.858667904100823,18.961236386969528,0.00094152,7.622672281959379e-06,32.247060000000005,0.2610765256571087,0
0.022633,0.015419484357367137,16.23776739188721,34.755580548383364,0.00094152,7.622672281959379e-06,32.247060000000005,0.2610765256571087,1
0.022633,0.004589380449988129,29.763514416313193,63.70630873650368,0.00094152,7.622672281959379e-06,32.247060000000005,0.2610765256571087,1
0.022633,0.0013659609119104639,54.555947811685144,116.77243506988081,0.00094152,7.622672281959379e-06,32.247060000000005,0.2610765256571087,1
0.022633,0.00040655797294721893,100.0,214.0416210375585,0.00094152,7.622672281959379e-06,32.247060000000005,0.2610765256571087,1
0.024361,3775374.9075607257,0.001,0.002135817666024215,0.00077635,7.140895898004435e-06,26.5899875,0.2445756845066519,1
0.024361,1123684.6052432053,0.0018329807108324356,0.003914911977893672,0.00077635,7.140895898004435e-06,26.5899875,0.2445756845066519,1
0.024361,334448.1310077567,0.003359818286283781,0.007175957062211982,0.00077635,7.140895898004435e-06,26.5899875,0.2445756845066519,1
0.024361,99543.54136841657,0.006158482110660267,0.013153389333382327,0.00077635,7.140895898004435e-06,26.5899875,0.2445756845066519,1
0.024361,29627.661039567167,0.011288378916846888,0.024109907027077843,0.00077635,7.140895898004435e-06,26.5899875,0.2445756845066519,1
