#  m  [GeV] ,  tau  [ps] ,  c ,  c_eff(theo) ,  c_eff(exp)^upper ,    c_eff(exp)^lower ,                c_eff(exp)^upper  converted ,    c_eff(exp)^lower  converted ,  allowed/excluded  (1/0)
0.44752,0.010461849168271935,10.0,10.015253951656412,0.01,0.0081673,342.5,279.730025,1
0.44752,0.006442993761344667,12.742749857031335,12.762189331522308,0.01,0.0081673,342.5,279.730025,1
0.44752,0.003968034971073927,16.237767391887218,16.262541015768885,0.01,0.0081673,342.5,279.730025,1
0.44752,0.002443839541356173,20.6913808111479,20.722952359506053,0.01,0.0081673,342.5,279.730025,1
0.44752,0.0015047442413498838,26.366508987303583,26.406723007018584,0.01,0.0081673,342.5,279.730025,1
0.44752,0.0009267071215369682,33.59818286283781,33.649423251486496,0.01,0.0081673,342.5,279.730025,1
0.44752,0.0005707346549951833,42.81332398719393,42.87861463996174,0.01,0.0081673,342.5,279.730025,1
0.44752,0.00035150782674885463,54.5559478116852,54.639141468554115,0.01,0.0081673,342.5,279.730025,1
0.44752,0.00021649242775063606,69.51927961775606,69.62528533425267,0.01,0.0081673,342.5,279.730025,1
0.44752,0.00013333843970729213,88.58667904100822,88.72175210898997,0.01,0.0081673,342.5,279.730025,1
0.44752,8.21241995642778e-05,112.88378916846884,113.05590054819906,0.01,0.0081673,342.5,279.730025,1
0.44752,5.058111924653061e-05,143.8449888287663,144.06429591275182,0.01,0.0081673,342.5,279.730025,1
0.44752,3.113512948927143e-05,183.29807108324357,183.577627333155,0.01,0.0081673,342.5,279.730025,1
0.44752,1.9174339436466727e-05,233.57214690901213,233.92839269210018,0.01,0.0081673,342.5,279.730025,1
0.44752,1.1808492881722067e-05,297.63514416313194,298.0891167045017,0.01,0.0081673,342.5,279.730025,0
0.44752,7.2718412586777694e-06,379.26901907322497,379.8474577359453,0.01,0.0081673,342.5,279.730025,1
0.44752,4.478292049804734e-06,483.2930238571752,484.0301076659962,0.01,0.0081673,342.5,279.730025,1
0.44752,2.7579259546721937e-06,615.8482110660261,616.7874550277431,0.01,0.0081673,342.5,279.730025,1
0.44752,1.698454913732957e-06,784.7599703514607,785.9568234216953,0.01,0.0081673,342.5,279.730025,1
0.44752,1.0459867981411178e-06,1000.0,1001.5251189018529,0.01,0.0081673,342.5,279.730025,1
0.45,0.010292616061216958,10.0,10.015296603470825,0.01,0.0067538,342.5,231.31765,1
