#  m  [GeV] ,  tau  [ps] ,  c ,  c_eff(theo) ,  c_eff(exp)^upper ,    c_eff(exp)^lower ,                c_eff(exp)^upper  converted ,    c_eff(exp)^lower  converted ,  allowed/excluded  (1/0)
0.39668,6.418217314145587e-08,10.0,42.17254316765842,0.01,0.0084206,342.5,288.40555,1
0.39668,3.9526476513801635e-08,12.742749857031335,53.73941684108101,0.01,0.0084206,342.5,288.40555,1
0.39668,2.434230985188256e-08,16.237767391887218,68.47879462591153,0.01,0.0084206,342.5,288.40555,1
0.39668,1.4991167976035442e-08,20.6913808111479,87.26081504194953,0.01,0.0084206,342.5,288.40555,1
0.39668,9.232283980092073e-09,26.366508987303583,111.19427383907222,0.01,0.0084206,342.5,288.40555,1
0.39668,5.685685573319065e-09,33.59818286283781,141.69208170560222,0.01,0.0084206,342.5,288.40555,1
0.39668,3.501519289073267e-09,42.81332398719393,180.55467538870175,0.01,0.0084206,342.5,288.40555,1
0.39668,2.1564043902183443e-09,54.5559478116852,230.0763063986202,0.01,0.0084206,342.5,288.40555,1
0.39668,1.3280177860650981e-09,69.51927961775606,293.1804820457795,0.01,0.0084206,342.5,288.40555,0
0.39668,8.178573778189205e-10,88.58667904100822,373.5925545663717,0.01,0.0084206,342.5,288.40555,1
0.39668,5.036760030402511e-10,112.88378916846884,476.05964712790853,0.01,0.0084206,342.5,288.40555,1
0.39668,3.101879654308286e-10,143.8449888287663,606.6309000368027,0.01,0.0084206,342.5,288.40555,1
0.39668,1.9102870360556098e-10,183.29807108324357,773.0145814705245,0.01,0.0084206,342.5,288.40555,1
0.39668,1.1764468537812148e-10,233.57214690901213,985.0331447507144,0.01,0.0084206,342.5,288.40555,1
0.39668,7.245126903172249e-11,297.63514416313194,1255.2030964433789,0.01,0.0084206,342.5,288.40555,1
0.39668,4.4618984422737216e-11,379.26901907322497,1599.4739077739632,0.01,0.0084206,342.5,288.40555,1
0.39668,2.7478521736367908e-11,483.2930238571752,2038.16959096025,0.01,0.0084206,342.5,288.40555,1
0.39668,1.692259845410153e-11,615.8482110660261,2597.1885263804825,0.01,0.0084206,342.5,288.40555,1
0.39668,1.0421751984557022e-11,784.7599703514607,3309.5323723208776,0.01,0.0084206,342.5,288.40555,1
0.39668,6.418217315868012e-12,1000.0,4217.254316422297,0.01,0.0084206,342.5,288.40555,1
0.4,6.34419492251586e-08,10.0,42.2595233726249,0.01,0.0056146,342.5,192.30005,1
0.4,3.907061093913512e-08,12.742749857031335,53.85025354051929,0.01,0.0056146,342.5,192.30005,1
0.4,2.4061565853224776e-08,16.237767391887218,68.62003105950181,0.01,0.0056146,342.5,192.30005,1
0.4,1.4818272286688321e-08,20.6913808111479,87.44078909634169,0.01,0.0056146,342.5,192.30005,1
0.4,9.125806479103624e-09,26.366508987303583,111.4236102746579,0.01,0.0056146,342.5,192.30005,1
0.4,5.620111594815098e-09,33.59818286283781,141.98431938877752,0.01,0.0056146,342.5,192.30005,1
0.4,3.461135671718419e-09,42.81332398719393,180.92706655825003,0.01,0.0056146,342.5,192.30005,1
0.4,2.1315342117136464e-09,54.5559478116852,230.55083515087043,0.01,0.0056146,342.5,192.30005,0
0.4,1.3127015311239242e-09,69.51927961775606,293.7851621647671,0.01,0.0056146,342.5,192.30005,0
0.4,8.084248896130885e-10,88.58667904100822,374.36308331634774,0.01,0.0056146,342.5,192.30005,1
0.4,4.978670220527499e-10,112.88378916846884,477.04151263976627,0.01,0.0056146,342.5,192.30005,1
0.4,3.0661051488154087e-10,143.8449888287663,607.8820666978859,0.01,0.0056146,342.5,192.30005,1
0.4,1.888255370845961e-10,183.29807108324357,774.6089118496865,0.01,0.0056146,342.5,192.30005,1
0.4,1.1628786921750038e-10,233.57214690901213,987.0647600718253,0.01,0.0056146,342.5,192.30005,1
0.4,7.161567622645641e-11,297.63514416313194,1257.7919330276402,0.01,0.0056146,342.5,192.30005,1
0.4,4.4104386088433466e-11,379.26901907322497,1602.7727974753584,0.01,0.0056146,342.5,192.30005,1
0.4,2.7161607272768895e-11,483.2930238571752,2042.3732835873295,0.01,0.0056146,342.5,192.30005,1
0.4,1.6727427248632896e-11,615.8482110660261,2602.545186742753,0.01,0.0056146,342.5,192.30005,1
0.4,1.0301556146817448e-11,784.7599703514607,3316.3582306274247,0.01,0.0056146,342.5,192.30005,1
0.4,6.3441949242184596e-12,1000.0,4225.952336918282,0.01,0.0056146,342.5,192.30005,1
0.41,6.132500255413966e-08,10.0,42.5013472505678,0.01,0.0039875,342.5,136.57187499999998,1
0.41,3.7766893118790024e-08,12.742749857031335,54.15840365912249,0.01,0.0039875,342.5,136.57187499999998,1
0.41,2.325867356579366e-08,16.237767391887218,69.01269904747416,0.01,0.0039875,342.5,136.57187499999998,1
0.41,1.4323812507777431e-08,20.6913808111479,87.94115609109608,0.01,0.0039875,342.5,136.57187499999998,1
0.41,8.821294308808677e-09,26.366508987303583,112.06121541973972,0.01,0.0039875,342.5,136.57187499999998,1
0.41,5.432578319486982e-09,33.59818286283781,142.79680367590575,0.01,0.0039875,342.5,136.57187499999998,0
0.41,3.3456436395902442e-09,42.81332398719393,181.96239496160925,0.01,0.0039875,342.5,136.57187499999998,0
0.41,2.060408650334163e-09,54.5559478116852,231.87012823725388,0.01,0.0039875,342.5,136.57187499999998,0
0.41,1.2688989813868345e-09,69.51927961775606,295.4663043435515,0.01,0.0039875,342.5,136.57187499999998,0
0.41,7.814491677171451e-10,88.58667904100822,376.50532074217796,0.01,0.0039875,342.5,136.57187499999998,1
0.41,4.812540719808094e-10,112.88378916846884,479.77131220493374,0.01,0.0039875,342.5,136.57187499999998,1
0.41,2.963794592991543e-10,143.8449888287663,611.3605819997567,0.01,0.0039875,342.5,136.57187499999998,1
0.41,1.8252475980684073e-10,183.29807108324357,779.041496886241,0.01,0.0039875,342.5,136.57187499999998,1
0.41,1.1240754680265696e-10,233.57214690901213,992.7130923059037,0.01,0.0039875,342.5,136.57187499999998,1
0.41,6.922598660890971e-11,297.63514416313194,1264.9894615044618,0.01,0.0039875,342.5,136.57187499999998,1
0.41,4.263270001246139e-11,379.26901907322497,1611.9444279722532,0.01,0.0039875,342.5,136.57187499999998,1
0.41,2.6255272035629334e-11,483.2930238571752,2054.0604629076292,0.01,0.0039875,342.5,136.57187499999998,1
0.41,1.6169262314213717e-11,615.8482110660261,2617.437867004033,0.01,0.0039875,342.5,136.57187499999998,1
0.41,9.95781127047529e-12,784.7599703514607,3335.3356005544433,0.01,0.0039875,342.5,136.57187499999998,1
0.41,6.132500257059871e-12,1000.0,4250.1347247107105,0.01,0.0039875,342.5,136.57187499999998,1
0.42,5.93616052432209e-08,10.0,42.71573756602841,0.01,0.0071295,342.5,244.18537500000002,1
0.42,3.6557738397178465e-08,12.742749857031335,54.431595875286355,0.01,0.0071295,342.5,244.18537500000002,1
0.42,2.251401779355313e-08,16.237767391887218,69.36082105481596,0.01,0.0071295,342.5,244.18537500000002,1
0.42,1.3865217582566664e-08,20.6913808111479,88.38475925701988,0.01,0.0071295,342.5,244.18537500000002,1
0.42,8.538869444505723e-09,26.366508987303583,112.62648783765054,0.01,0.0071295,342.5,244.18537500000002,1
0.42,5.258647472041601e-09,33.59818286283781,143.5171161781528,0.01,0.0071295,342.5,244.18537500000002,1
0.42,3.2385286383399516e-09,42.81332398719393,182.88027116510727,0.01,0.0071295,342.5,244.18537500000002,1
0.42,1.9944420684349378e-09,54.5559478116852,233.039754923339,0.01,0.0071295,342.5,244.18537500000002,1
0.42,1.2282735799336229e-09,69.51927961775606,296.95673037223594,0.01,0.0071295,342.5,244.18537500000002,0
0.42,7.564300869081358e-10,88.58667904100822,378.4045333485668,0.01,0.0071295,342.5,244.18537500000002,1
0.42,4.658461158219633e-10,112.88378916846884,482.19143132178255,0.01,0.0071295,342.5,244.18537500000002,1
0.42,2.868904970624963e-10,143.8449888287663,614.4444792527746,0.01,0.0071295,342.5,244.18537500000002,1
0.42,1.766809993884982e-10,183.29807108324357,782.9712300142355,0.01,0.0071295,342.5,244.18537500000002,1
0.42,1.0880867740311081e-10,233.57214690901213,997.7206529313914,0.01,0.0071295,342.5,244.18537500000002,1
0.42,6.700962932733343e-11,297.63514416313194,1271.370470748908,0.01,0.0071295,342.5,244.18537500000002,1
0.42,4.12677603455168e-11,379.26901907322497,1620.075588435987,0.01,0.0071295,342.5,244.18537500000002,1
0.42,2.541467638352715e-11,483.2930238571752,2064.421797291299,0.01,0.0071295,342.5,244.18537500000002,1
0.42,1.5651582985636088e-11,615.8482110660261,2630.641056227644,0.01,0.0071295,342.5,244.18537500000002,1
0.42,9.63899938206459e-12,784.7599703514607,3352.160094313592,0.01,0.0071295,342.5,244.18537500000002,1
0.42,5.9361605259154154e-12,1000.0,4271.573756255108,0.01,0.0071295,342.5,244.18537500000002,1
0.4268,5.810521555025039e-08,10.0,42.84751828884471,0.01,0.0031718,342.5,108.63414999999999,1
0.4268,3.578399305231574e-08,12.742749857031335,54.599520753966196,0.01,0.0031718,342.5,108.63414999999999,1
0.4268,2.2037508107076976e-08,16.237767391887218,69.57480352719206,0.01,0.0031718,342.5,108.63414999999999,1
0.4268,1.3571759944584168e-08,20.6913808111479,88.6574317689448,0.01,0.0031718,342.5,108.63414999999999,1
0.4268,8.358144083125455e-09,26.366508987303583,112.97394759888245,0.01,0.0031718,342.5,108.63414999999999,0
0.4268,5.147348081538846e-09,33.59818286283781,143.95987546042616,0.01,0.0031718,342.5,108.63414999999999,0
0.4268,3.1699851078049026e-09,42.81332398719393,183.44446824319328,0.01,0.0031718,342.5,108.63414999999999,0
0.4268,1.952229657774205e-09,54.5559478116852,233.7586971469479,0.01,0.0031718,342.5,108.63414999999999,0
0.4268,1.202277142343148e-09,69.51927961775606,297.8728604639437,0.01,0.0031718,342.5,108.63414999999999,0
0.4268,7.404202273238184e-10,88.58667904100822,379.5719350080771,0.01,0.0031718,342.5,108.63414999999999,1
0.4268,4.559864724374783e-10,112.88378916846884,483.6790220547619,0.01,0.0031718,342.5,108.63414999999999,1
0.4268,2.808184533223809e-10,143.8449888287663,616.3400789127712,0.01,0.0031718,342.5,108.63414999999999,1
0.4268,1.729415421136183e-10,183.29807108324357,785.3867452438736,0.01,0.0031718,342.5,108.63414999999999,1
0.4268,1.0650573933001087e-10,233.57214690901213,1000.7986835661014,0.01,0.0031718,342.5,108.63414999999999,1
0.4268,6.559136903481549e-11,297.63514416313194,1275.292728191944,0.01,0.0031718,342.5,108.63414999999999,1
0.4268,4.039432728154194e-11,379.26901907322497,1625.073622983133,0.01,0.0031718,342.5,108.63414999999999,1
0.4268,2.4876774193591478e-11,483.2930238571752,2070.7906676924044,0.01,0.0031718,342.5,108.63414999999999,1
0.4268,1.532031688423531e-11,615.8482110660261,2638.7567484669544,0.01,0.0031718,342.5,108.63414999999999,1
0.4268,9.43498974612991e-12,784.7599703514607,3362.501717925807,0.01,0.0031718,342.5,108.63414999999999,1
0.4268,5.810521556584718e-12,1000.0,4284.751828535708,0.01,0.0031718,342.5,108.63414999999999,1
