# Belle II, 50/ab, with background
# mass [GeV] 	 cff 	 cWW
0.005	0.0010804945284274441	0.6821407381255447
0.05	0.0010844502220238425	0.6847247059917017
0.07	0.001077485288738525	0.6805844632348164
0.1	0.0010934925960762168	0.6918234350217923
0.2	0.0010479195946381163	0.6844024451648258
0.25	0.0011720546421529457	0.7953346600909457
0.3	0.0012118098417866377	1.0177911591510351
0.5	0.003995046349672396	2.543145062652715
1.0	0.004378388472175159	2.7643763109797796
2.0	0.02419443705145144	15.310295798617865

